#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
496;2;49724;16,6;#1F1B12;;31;27;18;41;41;12;9,9;0,1;6,7;very dark orange
496;6;48097;16,06;#3F441A;;63;68;26;67;61;26;27,5;-9,2;24,3;dark yellow
496;5;28372;9,47;#C89C64;;200;156;100;33;50;78;67,3;9,5;35,5;orange
496;3;28181;9,41;#677A24;;103;122;36;73;70;47;48,2;-19,8;42,8;yellow
497;5;98989;33,04;#11100F;;17;16;15;30;11;6;4,7;0,2;0,6;very dark orange
497;1;63778;21,29;#2E2822;;46;40;34;30;26;18;16,6;1,5;5;very dark orange
497;4;59690;19,93;#4F4437;;79;68;55;32;30;31;29,6;2,3;9,6;dark orange
497;2;38102;12,72;#72685E;;114;104;94;30;17;44;44,6;2,1;7,1;pale red-orange
497;3;25790;8,61;#A69C93;;166;156;147;28;11;65;65;2,1;6;pale red-orange
497;6;13219;4,41;#E8E7E8;;232;231;232;300;0;91;91,7;0,5;-0,4;very light grey
498;6;100874;33,67;#8F8B81;;143;139;129;42;9;56;57,9;-0,4;5,9;pale orange
498;1;70494;23,53;#161915;;22;25;21;105;16;9;8,3;-2,5;2,2;very dark green
498;5;56742;18,94;#44483A;;68;72;58;77;19;28;29,8;-4,6;7,9;dark yellow-green
498;4;30734;10,26;#D2CEC0;;210;206;192;46;8;82;82,7;-1,1;7,4;pale yellow-orange
498;2;27055;9,03;#677043;;103;112;67;72;40;43;45,5;-11,3;23,9;yellow
498;3;13669;4,56;#5080C1;;80;128;193;214;58;75;52,9;3,4;-38,9;blue-cyan
499;3;115011;38,39;#0D0C09;;13;12;9;45;30;5;3,3;-0,1;1,3;very dark yellow-orange
499;5;66280;22,13;#2E2A25;;46;42;37;33;19;18;17,3;0,8;3,9;very dark orange
499;2;42035;14,03;#CAB393;;202;179;147;34;27;79;74,1;3,3;19,4;orange
