#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
720;1;34299;11,46;#A8BAD2;;168;186;210;214;20;82;74,9;-1,1;-14,1;pale blue-cyan
720;3;28390;9,49;#E0E5EE;;224;229;238;218;5;93;90,8;0;-4,9;white
721;5;90631;30,29;#343B3A;;52;59;58;171;11;23;24,2;-3,2;-0,4;dark cyan
721;3;72773;24,32;#636867;;99;104;103;168;4;40;43,6;-2,1;-0,1;grey
721;2;45316;15,15;#9FB1C5;;159;177;197;211;19;77;71,4;-1,9;-12,2;pale blue-cyan
721;1;31010;10,36;#645D41;;100;93;65;48;35;39;39,4;-2;17,1;yellow-orange
721;4;30209;10,1;#D9E0E7;;217;224;231;210;6;90;88,8;-1;-4,2;very light grey
721;6;29270;9,78;#B2A58C;;178;165;140;39;21;69;68,2;0,6;14,7;pale orange
722;2;91463;30,57;#2E2E22;;46;46;34;60;26;18;18,6;-2,5;7,8;very dark yellow
722;5;76017;25,41;#454B42;;69;75;66;100;12;29;31,1;-4,4;4,5;dark yellow-green
722;3;52158;17,43;#6B7372;;107;115;114;172;7;45;47,8;-3,2;-0,5;grey
722;6;33465;11,18;#9BA7A9;;155;167;169;188;8;66;67,6;-3,8;-2,5;pale cyan
722;1;31740;10,61;#EEF4F0;;238;244;240;140;2;95;95,7;-2,7;1,2;white
722;4;14365;4,8;#96856F;;150;133;111;33;26;58;56,5;2,8;14,2;orange
723;3;70991;23,7;#12130D;;18;19;13;70;31;7;5,6;-1,5;3;very dark yellow
723;2;57136;19,07;#3F4343;;63;67;67;180;6;26;28,1;-1,7;-0,6;dark grey
723;6;55507;18,53;#5B6062;;91;96;98;197;7;38;40,4;-1,5;-1,8;dark grey
723;5;49827;16,63;#A5C0DD;;165;192;221;211;25;86;76,6;-2,7;-17,5;light blue-cyan
723;1;33779;11,28;#CDD8E5;;205;216;229;212;10;89;85,9;-1,2;-7,6;pale blue-cyan
723;4;32328;10,79;#848B8E;;132;139;142;198;7;55;57,4;-1,9;-2,5;grey
724;1;216249;72,19;#050903;;5;9;3;100;66;3;2,1;-1,9;1,9;very dark yellow-green
724;5;22556;7,53;#0B2909;;11;41;9;116;78;16;13,7;-19,1;16;very dark green
724;4;20555;6,86;#0B940B;;11;148;11;120;92;58;53,2;-56,4;53,7;green
724;2;15761;5,26;#095809;;9;88;9;120;89;34;31,9;-37,9;35,5;dark green
724;6;15048;5,02;#523414;;82;52;20;31;75;32;24,6;10,1;25,1;dark orange
724;3;9399;3,14;#A78452;;167;132;82;35;50;65;57,4;7;32;orange
725;2;79656;26,62;#C2B8B3;;194;184;179;20;7;76;75,5;2,7;3,8;light grey
725;3;73741;24,65;#D2E5FC;;210;229;252;212;16;98;90,2;-1,7;-13,3;pale blue-cyan
725;6;46103;15,41;#8A8182;;138;129;130;353;6;54;54,8;3,6;0,7;grey
725;5;38547;12,88;#5B5251;;91;82;81;6;11;35;35,7;3,5;1,9;dark red
725;1;30675;10,25;#252435;;37;36;53;243;32;20;15;5,2;-10,9;dark blue
725;4;30487;10,19;#809ACA;;128;154;202;218;36;79;63,3;2,7;-27,6;blue-cyan
726;3;95339;31,83;#9EB3CB;;158;179;203;212;22;79;72,1;-2;-14,6;pale blue-cyan
726;1;88829;29,65;#C3BDB6;;195;189;182;32;6;76;76,9;0,9;4,3;light grey
726;6;57084;19,06;#A6A19B;;166;161;155;32;6;65;66,5;0,7;3,8;light grey
726;2;27621;9,22;#6E767A;;110;118;122;200;9;47;49,1;-2,1;-3,2;pale blue-cyan
726;4;16759;5,59;#24241B;;36;36;27;60;25;14;13,9;-2;6;very dark yellow
726;5;13936;4,65;#555735;;85;87;53;63;39;34;36;-6,9;19,5;dark yellow
727;3;111090;37,08;#A8C4DD;;168;196;221;208;24;86;77,9;-4;-15,6;pale blue-cyan
727;1;71985;24,03;#63819C;;99;129;156;208;36;61;52,7;-3,7;-17,9;blue-cyan
727;2;45088;15,05;#11160E;;17;22;14;97;36;8;6,5;-3,7;3,8;very dark yellow-green
727;4;43835;14,63;#354650;;53;70;80;202;33;31;28,7;-3,9;-8,2;dark blue-cyan
727;5;16081;5,37;#3C442C;;60;68;44;80;35;26;27,5;-8,2;13,5;dark yellow-green
727;6;11489;3,84;#94947C;;148;148;124;60;16;58;60,7;-4,3;12,7;pale yellow
728;6;80986;27,03;#5F6B65;;95;107;101;150;11;42;44,1;-5,8;1,8;pale blue-green
728;2;67752;22,62;#3C454C;;60;69;76;206;21;29;28,7;-1,9;-5,4;dark blue-cyan
728;1;55637;18,57;#859D79;;133;157;121;100;22;61;62,1;-15,4;16,1;pale yellow-green
728;4;38423;12,83;#958E95;;149;142;149;300;4;58;59,8;3,9;-2,8;grey
728;5;36276;12,11;#D9D5DD;;217;213;221;270;3;86;85,8;2,8;-3,4;very light grey
728;3;20494;6,84;#72A4D9;;114;164;217;210;47;85;65,9;-2,3;-32,1;blue-cyan
729;6;60090;20,08;#8E9495;;142;148;149;188;4;58;60,9;-2;-1,3;grey
729;5;50218;16,78;#5D686E;;93;104;110;201;15;43;43,3;-2,8;-4,8;pale blue-cyan
729;2;49908;16,67;#777F82;;119;127;130;196;8;51;52,6;-2,3;-2,6;pale blue-cyan
729;3;49357;16,49;#28383D;;40;56;61;194;34;23;22,4;-5,1;-5,2;dark cyan
729;1;47324;15,81;#DCDDD8;;220;221;216;72;2;86;87,9;-1,2;2,3;very light grey
729;4;42403;14,17;#A8A9A5;;168;169;165;75;2;66;69,1;-1,1;1,9;light grey
730;3;66450;22,2;#435D70;;67;93;112;205;40;43;38,2;-4,4;-13,9;blue-cyan
730;5;52759;17,63;#6FADDA;;111;173;218;205;49;85;68,3;-7,7;-28,9;blue-cyan
730;2;50745;16,95;#63839B;;99;131;155;205;36;60;53,2;-5,1;-16,5;blue-cyan
730;6;49092;16,4;#898887;;137;136;135;30;1;53;56,8;0,2;0,7;grey
730;4;40996;13,7;#99CEEA;;153;206;234;200;34;91;80,1;-10,4;-19,3;light blue-cyan
730;1;39258;13,12;#1F3547;;31;53;71;207;56;27;21,2;-2,7;-13,8;dark blue-cyan
731;2;96692;32,31;#1C1615;;28;22;21;8;25;11;7,9;2,8;1,7;very dark red
731;1;85990;28,73;#BCC7CA;;188;199;202;192;6;79;79,5;-3,2;-2,8;very light grey
731;4;38927;13,01;#9EA6A9;;158;166;169;196;6;66;67,6;-2,2;-2,5;light grey
731;3;34732;11,6;#80776B;;128;119;107;34;16;50;50,5;1,3;7,8;pale orange
731;5;30785;10,29;#49423C;;73;66;60;27;17;28;28,5;1,8;4,7;dark red-orange
731;6;12174;4,07;#F6F1EC;;246;241;236;30;4;96;95,4;0,8;3;white
732;1;108046;36,1;#D2CFD7;;210;207;215;262;3;84;83,6;2,5;-3,6;very light grey
732;3;49182;16,43;#626569;;98;101;105;214;6;41;42,6;-0,3;-2,7;grey
732;2;43936;14,68;#2D3535;;45;53;53;180;15;20;21,4;-3,4;-1,1;dark cyan
732;4;38596;12,9;#19140F;;25;20;15;30;40;9;6,7;1,3;3,6;very dark orange
732;6;38123;12,74;#8F8F94;;143;143;148;240;3;58;59,5;1;-2,6;grey
732;5;21417;7,16;#412E21;;65;46;33;24;49;25;20,8;6,7;11,8;dark red-orange
733;2;67850;22,65;#455758;;69;87;88;183;21;34;35,6;-6,7;-2,9;dark cyan
733;1;57439;19,17;#5F716F;;95;113;111;173;15;44;46,2;-7,1;-1,1;pale cyan
733;6;57201;19,09;#2D3834;;45;56;52;158;19;22;22,4;-5,6;1;dark blue-green
733;3;56730;18,94;#181C15;;24;28;21;94;25;11;9,6;-3,6;4,2;very dark yellow-green
733;5;38793;12,95;#819896;;129;152;150;174;15;59;61,1;-8,5;-1,7;pale cyan
733;4;21555;7,2;#A1BAB9;;161;186;185;177;13;72;73,7;-8,7;-2,4;pale cyan
734;5;70894;23,67;#2C2417;;44;36;23;37;47;17;14,7;1,4;10,1;very dark orange
734;3;67073;22,39;#443A1F;;68;58;31;43;54;26;24,8;0,1;18,3;dark orange
734;4;57363;19,15;#645637;;100;86;55;41;45;39;37,2;0,9;20,2;orange
734;2;40957;13,67;#9CA39E;;156;163;158;137;4;63;66,3;-3,5;1,7;light grey
734;1;33207;11,08;#696C63;;105;108;99;80;8;42;45,1;-3;4,6;pale yellow-green
734;6;30074;10,04;#E3E9E7;;227;233;231;160;2;91;91,9;-2,4;0,3;very light grey
735;2;92969;31,03;#A4A3A5;;164;163;165;270;1;64;67,1;0,7;-0,9;light grey
735;1;90534;30,22;#5B5E5E;;91;94;94;180;3;36;39,6;-1,2;-0,4;dark grey
735;6;49870;16,65;#818182;;129;129;130;240;0;51;54;0,2;-0,5;grey
735;3;38589;12,88;#DEDBDD;;222;219;221;320;1;87;87,7;1,4;-0,6;very light grey
735;4;16825;5,62;#7F6553;;127;101;83;24;34;49;44,9;7,7;14,2;red-orange
735;5;10781;3,6;#4B3C30;;75;60;48;26;36;29;26,6;4,5;9,9;dark red-orange
736;3;76845;25,68;#4E5151;;78;81;81;180;3;31;34,2;-1,2;-0,4;dark grey
736;2;62855;21,01;#1E1F21;;30;31;33;220;9;12;11,7;0,1;-1,5;very dark blue-cyan
736;1;58448;19,53;#ABB6C5;;171;182;197;214;13;77;73,6;-0,8;-8,9;pale blue-cyan
736;6;48123;16,08;#85909E;;133;144;158;213;15;62;59,3;-0,9;-8,7;pale blue-cyan
736;4;39169;13,09;#DDE4EB;;221;228;235;210;6;92;90,3;-1;-4,2;very light grey
736;5;13769;4,6;#466FAF;;70;111;175;216;60;68;46,7;5,7;-38,4;blue-cyan
737;2;106465;35,54;#36483A;;54;72;58;133;25;28;28,7;-10,5;6,1;dark green
737;1;62242;20,78;#799193;;121;145;147;184;17;57;58,4;-8;-3,9;pale cyan
737;5;45643;15,24;#456061;;69;96;97;182;28;38;38,7;-9,7;-3,8;cyan
737;4;31712;10,59;#57786C;;87;120;108;158;27;47;47,7;-14,5;2,8;blue-green
737;6;29707;9,92;#B4B9BB;;180;185;187;197;3;73;74,8;-1,4;-1,6;light grey
737;3;23799;7,94;#E4E5E6;;228;229;230;210;0;90;90,9;-0,2;-0,6;very light grey
738;4;105437;35,2;#5B656B;;91;101;107;202;15;42;42,1;-2,5;-4,7;pale blue-cyan
738;2;64548;21,55;#6F869B;;111;134;155;208;28;60;54,9;-3,2;-13,9;blue-cyan
738;6;39806;13,29;#96C5F1;;150;197;241;209;37;94;77,7;-4,7;-26,7;light blue-cyan
738;5;36268;12,11;#3D4253;;61;66;83;226;26;32;28,1;2,3;-10,9;dark blue
738;3;33095;11,05;#79ADF3;;121;173;243;214;50;95;69,8;1,9;-40,2;blue-cyan
738;1;20414;6,81;#C1ECFA;;193;236;250;194;22;98;90,9;-10,8;-11,3;pale cyan
739;3;71823;24;#BADBE1;;186;219;225;189;17;88;85,3;-9,6;-6,6;pale cyan
739;5;70696;23,63;#121415;;18;20;21;200;14;8;6,2;-0,6;-0,9;very dark blue-cyan
739;2;42773;14,3;#93AFB3;;147;175;179;187;17;70;69,6;-8,7;-5,2;pale cyan
739;1;41430;13,85;#212D35;;33;45;53;204;37;20;17,7;-2,7;-6,8;dark blue-cyan
739;6;37463;12,52;#678187;;103;129;135;191;23;52;52,2;-7,9;-6,3;pale cyan
739;4;35024;11,71;#3C515B;;60;81;91;199;34;35;33,1;-5,3;-8,5;dark blue-cyan
740;1;65729;21,97;#A1A9AF;;161;169;175;205;8;68;68,8;-1,6;-4,1;pale blue-cyan
740;4;61315;20,49;#70797D;;112;121;125;198;10;49;50,2;-2,5;-3,3;pale blue-cyan
740;2;55381;18,51;#424A4D;;66;74;77;196;14;30;30,9;-2,5;-2,9;dark blue-cyan
740;3;52197;17,44;#DFE4EA;;223;228;234;212;4;91;90,4;-0,6;-3,5;very light grey
740;6;37974;12,69;#1B2123;;27;33;35;195;22;13;12,2;-2,2;-2,3;very dark blue-cyan
740;5;26613;8,89;#4F6078;;79;96;120;215;34;47;40,2;-0,2;-15,6;blue-cyan
741;6;73405;24,5;#516170;;81;97;112;209;27;43;40,4;-2,3;-10,5;blue-cyan
741;3;71711;23,94;#22394A;;34;57;74;205;54;29;22,9;-3,4;-13,2;dark blue-cyan
741;1;54480;18,19;#728496;;114;132;150;210;24;58;54,3;-2,3;-11,8;pale blue-cyan
741;4;43438;14,5;#95ADC3;;149;173;195;208;23;76;69,6;-3,4;-14;pale blue-cyan
741;5;31602;10,55;#C3D0DC;;195;208;220;208;11;86;82,8;-2;-7,4;pale blue-cyan
741;2;24932;8,32;#2B2C27;;43;44;39;72;11;17;17,7;-1,6;3,1;very dark yellow
742;3;92243;30,83;#A7B2BE;;167;178;190;211;12;74;72,1;-1,4;-7,4;pale blue-cyan
742;1;78374;26,19;#CCD6E2;;204;214;226;212;9;88;85,2;-1,1;-7,1;pale blue-cyan
742;6;52785;17,64;#677078;;103;112;120;208;14;47;46,7;-1,6;-5,6;pale blue-cyan
742;2;36742;12,28;#414956;;65;73;86;217;24;33;30,8;0,1;-8,8;dark blue-cyan
742;4;24410;8,16;#302823;;48;40;35;23;27;18;16,8;2,7;4,7;very dark red-orange
742;5;14655;4,9;#534435;;83;68;53;30;36;32;30;3,9;11,5;dark red-orange
743;1;73534;24,58;#8691A1;;134;145;161;215;16;63;59,8;-0,5;-9,8;pale blue-cyan
743;2;68607;22,93;#353E40;;53;62;64;190;17;25;25,5;-3,2;-2,5;dark cyan
743;3;66271;22,15;#948F80;;148;143;128;45;13;58;59,4;-0,9;8,6;pale orange
743;6;37472;12,52;#566269;;86;98;105;202;18;41;40,8;-2,9;-5,5;pale blue-cyan
743;5;31298;10,46;#BAC2CF;;186;194;207;217;10;81;78,2;-0,2;-7,4;pale blue-cyan
743;4;22027;7,36;#7F6659;;127;102;89;20;29;49;45,3;7,9;11,1;red-orange
744;5;85434;28,55;#6084A4;;96;132;164;208;41;64;53,7;-4;-21;blue-cyan
744;2;66291;22,15;#416990;;65;105;144;209;54;56;43,1;-2,2;-25,7;blue-cyan
744;4;59796;19,98;#9ADFF7;;154;223;247;195;37;96;85,2;-15,7;-18,5;light blue-cyan
744;1;40026;13,37;#8DA6C1;;141;166;193;211;26;75;67,1;-2,5;-16,7;blue-cyan
744;6;26654;8,91;#1D446F;;29;68;111;211;73;43;28,2;2,1;-28,9;blue-cyan
744;3;21067;7,04;#081427;;8;20;39;216;79;15;6,3;2,2;-14,4;very dark blue-cyan
745;5;70672;23,61;#16130E;;22;19;14;37;36;8;6;0,3;3,1;very dark orange
745;1;68455;22,87;#A6A49C;;166;164;156;48;6;65;67,3;-0,8;4,4;light grey
745;3;60750;20,3;#7B7D85;;123;125;133;228;7;52;52,5;0,9;-4,6;grey
745;2;54536;18,22;#3D3831;;61;56;49;35;19;23;23,8;0,8;5,2;dark orange
745;4;24737;8,26;#A28F64;;162;143;100;41;38;63;60,1;0,7;25,5;orange
745;6;20150;6,73;#F0F0EE;;240;240;238;60;0;94;94,7;-0,4;1;white
746;5;70355;23,51;#1E1F23;;30;31;35;228;14;13;11,8;0,6;-2,9;very dark blue
746;6;46940;15,69;#E3CDA8;;227;205;168;37;26;89;83,3;2,1;21,2;light orange
746;1;46810;15,64;#CBC9C7;;203;201;199;30;2;79;81,1;0,3;1,2;very light grey
746;3;46017;15,38;#8B8073;;139;128;115;32;17;54;54,2;1,9;8,6;pale orange
746;2;45620;15,25;#4D4C4D;;77;76;77;300;1;30;32,4;0,6;-0,4;dark grey
746;4;43467;14,53;#9398A8;;147;152;168;225;12;65;62,9;1,5;-9;pale blue
747;2;83991;28,04;#545248;;84;82;72;50;14;32;34,8;-1,2;6,2;dark yellow-orange
747;6;75756;25,29;#717376;;113;115;118;216;4;46;48,4;-0,1;-1,9;grey
747;3;57747;19,28;#ADACA7;;173;172;167;50;3;67;70,3;-0,6;2,7;light grey
747;4;36696;12,25;#2D2A21;;45;42;33;45;26;17;17,1;-0,5;6,4;very dark orange
747;1;34574;11,54;#94816F;;148;129;111;29;25;58;55,2;4,3;12,4;red-orange
747;5;10804;3,61;#E7E9E6;;231;233;230;100;1;91;92,1;-1,2;1,2;very light grey
748;6;73481;24,56;#484B58;;72;75;88;228;18;34;32,1;1,9;-8,1;dark blue
748;1;65208;21,79;#1C292F;;28;41;47;198;40;18;15,7;-3,7;-5,7;very dark blue-cyan
748;3;59331;19,83;#63738F;;99;115;143;218;30;56;48,1;1;-17,2;blue-cyan
748;5;49421;16,52;#8C9BB6;;140;155;182;218;23;71;63,7;0,7;-15,8;pale blue-cyan
748;2;46983;15,7;#B9C8DF;;185;200;223;216;17;87;80,2;-0,4;-13,1;pale blue-cyan
748;4;4785;1,6;#968F2E;;150;143;46;56;69;58;58,3;-9,4;50,2;yellow-orange
749;5;85541;28,55;#3E424C;;62;66;76;222;18;29;28;0,8;-6,6;dark blue-cyan
749;2;72208;24,1;#546075;;84;96;117;218;28;45;40,5;0,6;-13,4;blue-cyan
749;6;60730;20,27;#242310;;36;35;16;57;55;14;13,3;-3,2;12,6;very dark yellow-orange
749;4;40209;13,42;#87BAEB;;135;186;235;209;42;92;73,7;-4,2;-29,7;light blue-cyan
749;3;25632;8,56;#D5AD4F;;213;173;79;42;62;83;72,6;4,2;52,6;orange
749;1;15248;5,09;#796732;;121;103;50;44;58;47;44,2;0,1;32,1;orange
750;4;95657;31,93;#4D5161;;77;81;97;228;20;38;34,7;2,2;-9,8;pale blue
750;1;75408;25,17;#3E3E4D;;62;62;77;240;19;30;26,7;3,7;-9,1;dark blue
750;3;51202;17,09;#2E3736;;46;55;54;173;16;21;22,2;-4;-0,6;dark cyan
750;5;50543;16,87;#191E29;;25;30;41;221;39;16;11,2;1,1;-8,2;very dark blue-cyan
750;6;19731;6,59;#A9A6AF;;169;166;175;260;5;68;68,6;2,8;-4,3;light grey
750;2;7027;2,35;#E5EAEF;;229;234;239;210;4;93;92,5;-0,8;-3;white
751;4;59267;19,78;#1C2A2A;;28;42;42;180;33;16;15,8;-5,9;-1,9;very dark cyan
751;2;56726;18,94;#AAC9E7;;170;201;231;209;26;90;79,7;-3,7;-18,3;light blue-cyan
751;3;56514;18,87;#6B797A;;107;121;122;184;12;47;49,7;-4,9;-2,3;pale cyan
751;5;53932;18;#233110;;35;49;16;85;67;19;18,3;-12,6;18,9;very dark yellow-green
751;6;37594;12,55;#545A28;;84;90;40;67;55;35;36,7;-10,6;27,8;dark yellow
751;1;35535;11,86;#85883A;;133;136;58;62;57;53;55;-12,3;40,7;yellow
752;3;68471;22,86;#A7A89F;;167;168;159;66;5;65;68,6;-2;4,5;light grey
752;2;67048;22,38;#76756A;;118;117;106;55;10;46;49;-1,7;6,2;pale yellow-orange
752;6;63183;21,09;#505955;;80;89;85;153;10;34;36,9;-4,4;1,1;dark blue-green
752;1;43103;14,39;#72828C;;114;130;140;203;18;54;53,4;-3,6;-7,3;pale blue-cyan
752;4;33920;11,32;#3C352A;;60;53;42;36;30;23;22,6;1;8,1;dark orange
752;5;23843;7,96;#E6E0D4;;230;224;212;40;7;90;89,3;0;6,6;very light grey
753;3;86668;28,96;#205174;;32;81;116;205;72;45;32,8;-4;-24,8;blue-cyan
753;5;74800;24,99;#43749C;;67;116;156;207;57;61;47,1;-4,4;-26,6;blue-cyan
753;2;51790;17,3;#6FA2CD;;111;162;205;207;45;80;64,7;-5,4;-27,3;blue-cyan
753;4;38051;12,71;#99C4E6;;153;196;230;206;33;90;77,3;-6,2;-21,5;light blue-cyan
753;1;27003;9,02;#171B28;;23;27;40;225;42;15;9,9;2,2;-9,4;very dark blue
753;6;20988;7,01;#4F5159;;79;81;89;228;11;34;34,5;1;-4,9;dark blue
754;6;84333;28,18;#585735;;88;87;53;58;39;34;36,3;-5,5;19,9;dark yellow-orange
754;3;60077;20,07;#878DA2;;135;141;162;226;16;63;58,8;2,3;-11,8;pale blue
754;1;55882;18,67;#595E5E;;89;94;94;180;5;36;39,5;-2;-0,7;dark grey
754;2;50436;16,85;#BFC3D2;;191;195;210;227;9;82;78,9;1,5;-8;pale blue
754;5;29751;9,94;#A79B96;;167;155;150;17;10;65;64,9;3,5;4,2;pale red-orange
754;4;18821;6,29;#282613;;40;38;19;54;52;15;14,9;-2,7;12,9;very dark yellow-orange
755;1;73526;24,55;#55616A;;85;97;106;205;19;41;40,4;-2,5;-6,7;pale blue-cyan
755;4;65008;21,7;#66829F;;102;130;159;210;35;62;53,3;-2,6;-18,7;blue-cyan
755;5;62465;20,86;#9CA39D;;156;163;157;128;4;63;66,3;-3,6;2,2;light grey
755;3;59484;19,86;#2B3237;;43;50;55;205;21;21;20,3;-1,7;-4,2;dark blue-cyan
755;6;23529;7,86;#6C7845;;108;120;69;74;42;47;48,3;-13,4;26,5;yellow
755;2;15508;5,18;#E4E5D8;;228;229;216;64;5;89;90,5;-2,6;6,2;very light grey
756;1;104416;34,85;#CECECB;;206;206;203;60;1;80;82,7;-0,5;1,5;very light grey
756;3;71165;23,75;#48511F;;72;81;31;70;61;31;32,6;-12;27,7;dark yellow
756;4;52901;17,66;#9E9F9D;;158;159;157;90;1;62;65,4;-0,7;0,9;light grey
756;2;29054;9,7;#5B5341;;91;83;65;41;28;35;35,6;0;11,8;dark orange
756;5;22395;7,48;#39321F;;57;50;31;43;45;22;21;-0,2;13,2;dark orange
756;6;19654;6,56;#867F6C;;134;127;108;43;19;52;53,3;-0,7;11,3;pale orange
757;6;97808;32,65;#ADB5C6;;173;181;198;220;12;77;73,6;0,6;-9,6;pale blue-cyan
757;5;65108;21,73;#090B06;;9;11;6;84;45;4;2,8;-1,2;1,7;very dark yellow-green
757;4;44844;14,97;#585D64;;88;93;100;215;12;39;39,3;-0,4;-4,7;pale blue-cyan
757;2;37548;12,53;#87898F;;135;137;143;225;5;56;57,1;0,5;-3,5;grey
757;3;36814;12,29;#343638;;52;54;56;210;7;22;22,5;-0,4;-1,6;very dark grey
757;1;17446;5,82;#615745;;97;87;69;38;28;38;37,5;0,9;12;orange
758;2;76499;25,54;#C4C4CA;;196;196;202;240;3;79;79,3;1,1;-3;very light grey
758;5;57767;19,28;#191D19;;25;29;25;120;13;11;10,2;-2,9;2,1;very dark green
758;6;55866;18,65;#383E41;;56;62;65;200;13;25;25,8;-1,8;-2,7;dark blue-cyan
758;4;51660;17,24;#979BA0;;151;155;160;213;5;62;63,8;-0,4;-3,1;light grey
758;1;30927;10,32;#626C6F;;98;108;111;193;11;43;44,9;-3,1;-3;pale cyan
758;3;26849;8,96;#404727;;64;71;39;73;45;27;28,8;-8,9;18,3;dark yellow
759;1;86558;28,89;#598AD4;;89;138;212;216;58;83;57,1;5,5;-43;blue-cyan
759;6;57586;19,22;#5B83A4;;91;131;164;207;44;64;53,1;-4,8;-21,9;blue-cyan
759;2;54080;18,05;#375A5F;;55;90;95;187;42;37;35,9;-11,2;-6,9;dark cyan
759;3;48337;16,14;#8CBAEE;;140;186;238;211;41;93;74,1;-2,2;-30,7;light blue-cyan
759;5;39937;13,33;#595B4D;;89;91;77;68;15;35;38,1;-3,6;7,8;dark yellow
759;4;13070;4,36;#A5988E;;165;152;142;26;13;64;63,7;3;7;pale red-orange
760;3;82998;27,71;#1F2729;;31;39;41;192;24;16;15;-3;-2,5;very dark cyan
760;2;51207;17,09;#C1D2DD;;193;210;221;203;12;86;83,3;-3,5;-7,4;pale blue-cyan
760;4;50985;17,02;#3F4D59;;63;77;89;207;29;34;32;-2,4;-8,9;dark blue-cyan
760;6;44411;14,83;#728799;;114;135;153;207;25;60;55,3;-3,3;-12,1;blue-cyan
760;5;35592;11,88;#9B8E78;;155;142;120;37;22;60;59,6;1,2;13,5;pale orange
760;1;34375;11,47;#6F6553;;111;101;83;38;25;43;43,2;0,8;11,6;orange
761;1;66044;22,05;#C2C9D1;;194;201;209;212;7;82;80,7;-0,9;-4,8;very light grey
761;2;56134;18,74;#3D4549;;61;69;73;200;16;28;28,7;-2,3;-3,5;dark blue-cyan
761;3;55057;18,38;#97A2B1;;151;162;177;214;14;69;66,2;-0,7;-9,1;pale blue-cyan
761;4;48940;16,34;#22222E;;34;34;46;240;26;18;13,7;3,3;-7,9;very dark blue
761;5;48504;16,19;#5B6569;;91;101;105;197;13;41;42,1;-2,9;-3,6;pale blue-cyan
761;6;24877;8,3;#5B6D8D;;91;109;141;218;35;55;45,7;1,6;-19,7;blue-cyan
762;5;69974;23,36;#504537;;80;69;55;33;31;31;30;2,2;10,2;dark orange
762;1;52231;17,44;#291E16;;41;30;22;25;46;16;12,3;3,9;7,5;very dark red-orange
762;4;52052;17,38;#7D694D;;125;105;77;35;38;49;45,6;3,6;18,7;orange
762;2;48086;16,05;#858586;;133;133;134;240;0;52;55,6;0,2;-0,5;grey
762;6;44013;14,69;#CED0CF;;206;208;207;150;1;81;83,3;-0,9;0,3;very light grey
762;3;33212;11,09;#B79E7A;;183;158;122;35;33;71;66,5;3,8;22,2;orange
763;1;99648;33,3;#4D3110;;77;49;16;32;79;30;23;9,2;25,4;dark orange
763;4;70976;23,72;#644925;;100;73;37;34;63;39;33,2;7;25,7;orange
763;5;58883;19,68;#311F09;;49;31;9;33;81;19;13,5;6,1;16,5;very dark orange
763;2;49813;16,65;#180F07;;24;15;7;28;70;9;5;2,5;4,6;very dark red-orange
763;3;12430;4,15;#A07E54;;160;126;84;33;47;62;55,1;7,6;27,8;orange
763;6;7459;2,49;#E9DBB6;;233;219;182;43;21;91;87,7;-1;20;pale orange
764;4;61039;20,38;#585B50;;88;91;80;76;12;35;38,1;-3,4;5,9;dark yellow-green
764;6;59326;19,81;#303822;;48;56;34;81;39;22;22,2;-8;12,7;dark yellow-green
764;1;52773;17,62;#606947;;96;105;71;75;32;41;42,8;-9,8;18;yellow-green
764;5;44443;14,84;#A2BFDE;;162;191;222;211;27;87;76,2;-2,8;-18,7;light blue-cyan
764;3;42218;14,1;#A69C8B;;166;156;139;37;16;65;64,8;0,7;10,2;pale orange
764;2;39691;13,25;#7992AB;;121;146;171;210;29;67;59,5;-2,9;-16;blue-cyan
765;2;89114;29,77;#12141A;;18;20;26;225;30;10;6,4;0,7;-4,4;very dark blue
765;3;59214;19,78;#56769A;;86;118;154;211;44;60;48,6;-1,5;-23;blue-cyan
765;4;49101;16,41;#35404D;;53;64;77;212;31;30;26,6;-1;-9,3;dark blue-cyan
765;1;41557;13,88;#98A9BA;;152;169;186;210;18;72;68,5;-2,3;-10,7;pale blue-cyan
765;5;30892;10,32;#7C746F;;124;116;111;23;10;48;49,4;2,1;3,9;pale red-orange
765;6;29422;9,83;#DFCBB3;;223;203;179;32;19;87;82,7;3,2;14,5;pale orange
766;2;87257;29,13;#424A4D;;66;74;77;196;14;30;30,9;-2,5;-2,9;dark blue-cyan
766;6;57128;19,07;#252B2D;;37;43;45;195;17;17;17;-2,1;-2,2;very dark blue-cyan
766;5;50315;16,8;#6B7276;;107;114;118;201;9;46;47,6;-1,8;-3,1;pale blue-cyan
766;4;49346;16,47;#9CA3AB;;156;163;171;212;8;67;66,7;-0,9;-5;pale blue-cyan
766;1;32621;10,89;#D6D5D5;;214;213;213;0;0;83;85,3;0,3;0,1;very light grey
766;3;22901;7,64;#96765F;;150;118;95;25;36;58;52,1;9,2;17,4;red-orange
767;1;79921;26,68;#181910;;24;25;16;66;36;9;8,4;-2,6;5,5;very dark yellow
767;2;57841;19,31;#D3D2CE;;211;210;206;48;2;82;84,2;-0,4;2,1;very light grey
767;5;53061;17,71;#2C2F2A;;44;47;42;96;10;18;19;-2,5;2,8;very dark yellow-green
767;3;40838;13,63;#51544B;;81;84;75;80;10;32;35,2;-3,1;4,8;dark yellow-green
767;6;34136;11,4;#777D81;;119;125;129;204;7;50;52;-1,4;-2,9;grey
