#;Space;Channel;Mean;Median;Min;Max;Std
20;HSV;Hue;44,03;30;0;358,06;61,16
20;HSV;Saturation;54,84;59,84;0;100;26,71
20;HSV;Value;36,24;25,88;0;100;27,42
20;Lab;Lightness;31,18;20,77;0;100;26,5
20;Lab;Green-Red;5,65;4,87;-17,39;34,69;5,64
20;Lab;Blue-Yellow;13,94;11,01;-11,22;75,74;12,78
20;LCH;Lightness;31,18;20,77;0;100;26,5
20;LCH;Chroma;15,61;12,24;0;77,32;13,33
20;LCH;Hue;76,97;67,68;0;360;50,43
21;RGB;Red;84,23;52;0;255;72,88
21;RGB;Green;62,55;34;0;255;59,27
21;RGB;Blue;39,29;23;0;255;40,1
21;HSV;Hue;72,31;30;0;357,93;98,69
21;HSV;Saturation;46,13;51,93;0;100;22,15
21;HSV;Value;33,16;20,39;0;100;28,48
21;Lab;Lightness;26,84;15,27;0;100;25,46
21;Lab;Green-Red;6,36;5,73;-19,77;25,57;5,51
21;Lab;Blue-Yellow;16,29;10,16;-17,25;68,89;17,13
21;LCH;Lightness;26,84;15,27;0;100;25,46
21;LCH;Chroma;18,34;12,36;0;69,39;17,12
21;LCH;Hue;105,72;68,19;0;359,64;94,59
22;RGB;Red;104,18;93;0;255;64,9
22;RGB;Green;60,42;43;0;255;53,09
22;RGB;Blue;32,69;29;0;255;25,37
22;HSV;Hue;37,73;15,48;0;358,85;76,86
22;HSV;Saturation;66,4;68,12;0;100;12,52
22;HSV;Value;40,87;36,47;1,18;100;25,44
22;Lab;Lightness;29,41;24,23;0,17;100;22,26
22;Lab;Green-Red;16,41;19,09;-18,99;34;8,27
22;Lab;Blue-Yellow;23,26;19,33;-14,87;81,83;18,18
22;LCH;Lightness;29,41;24,23;0,17;100;22,26
22;LCH;Chroma;29,94;28,43;0;82,83;17,69
22;LCH;Hue;58,08;44,54;0,02;359,93;57,56
23;RGB;Red;82,58;71;0;255;54,1
23;RGB;Green;78,84;65;0;255;53,82
23;RGB;Blue;71,48;55;0;255;54,37
23;HSV;Hue;81,87;45,52;0;357,69;85,2
23;HSV;Saturation;21,14;18,28;0;100;15,31
23;HSV;Value;33,09;27,84;0;100;22,09
23;Lab;Lightness;32,61;28,02;0;99,08;22,41
23;Lab;Green-Red;0,32;0,04;-18,34;41,43;2,79
23;Lab;Blue-Yellow;4,89;4,28;-16,83;76,39;8
23;LCH;Lightness;32,61;28,02;0;99,08;22,41
23;LCH;Chroma;6,8;5,46;0;80,43;7,04
23;LCH;Hue;124,36;96,13;0;359,99;81,03
24;RGB;Red;114,53;103;0;255;67,32
24;RGB;Green;77,71;68;0;255;52,8
24;RGB;Blue;37,4;20;0;255;43,78
24;HSV;Hue;51,54;30,61;0;358,91;71,37
24;HSV;Saturation;69,91;81,67;0;100;28,55
24;HSV;Value;45,29;41,18;0;100;26,23
24;Lab;Lightness;35,49;32,72;0;100;22,88
24;Lab;Green-Red;11,92;11,47;-17,59;38,21;8,01
24;Lab;Blue-Yellow;26,52;23,06;-40,79;77,85;22,04
24;LCH;Lightness;35,49;32,72;0;100;22,88
24;LCH;Chroma;30,73;26,45;0;79,85;21,24
24;LCH;Hue;83,42;66,45;0;360;68,89
25;RGB;Red;107,49;102;0;255;58,06
25;RGB;Green;100,77;95;0;255;57,45
25;RGB;Blue;89,93;84;0;255;60,04
25;HSV;Hue;80,99;43,33;0;359,2;84,74
25;HSV;Saturation;28,72;21,21;0;100;23,76
25;HSV;Value;44,03;41,96;0;100;22,61
25;Lab;Lightness;42,1;40,53;0;100;23,19
25;Lab;Green-Red;1,19;0,69;-28,19;39,93;8,07
25;Lab;Blue-Yellow;7,4;6,25;-32,9;56,97;9,68
25;LCH;Lightness;42,1;40,53;0;100;23,19
25;LCH;Chroma;11,35;8,63;0;57,15;9,29
25;LCH;Hue;114,47;92,24;0;359,99;79,31
26;RGB;Red;135,72;135;9;255;68,37
26;RGB;Green;78,65;73;0;255;50,15
26;RGB;Blue;21,59;9;0;255;25,66
26;HSV;Hue;28,22;29,26;0;358,8;7,88
26;HSV;Saturation;87,87;91,36;0;100;10,73
26;HSV;Value;53,22;52,94;3,53;100;26,81
26;Lab;Lightness;38,22;37,73;0,84;100;22,21
26;Lab;Green-Red;19,53;20,07;-19,19;41,09;5,26
26;Lab;Blue-Yellow;39,06;42,33;-2,03;88,2;17,15
26;LCH;Lightness;38,22;37,73;0,84;100;22,21
26;LCH;Chroma;44,06;47,64;0;89,41;16,96
26;LCH;Hue;60,32;63,01;1,06;349,78;9,68
27;RGB;Red;147,65;160;0;255;59,03
27;RGB;Green;144,61;157;0;255;58,63
27;RGB;Blue;141,29;150;0;255;57,53
27;HSV;Hue;103,1;42;0;357,86;107,55
27;HSV;Saturation;7,92;7,05;0;100;6,45
27;HSV;Value;58,68;63,53;0;100;23,17
27;Lab;Lightness;59,26;64,75;0;100;23,12
27;Lab;Green-Red;0,61;0,66;-34,95;17,05;2,25
27;Lab;Blue-Yellow;2,13;2,3;-30,11;22,91;3,97
27;LCH;Lightness;59,26;64,75;0;100;23,12
27;LCH;Chroma;4,28;3,78;0;35,13;2,73
27;LCH;Hue;141,38;92,39;0;359,99;102,65
28;RGB;Red;60,9;35;0;255;66,15
28;RGB;Green;40,97;15;0;255;62,71
28;RGB;Blue;18,64;5;0;255;42,1
28;HSV;Hue;27,89;21,82;0;358,7;41,2
28;HSV;Saturation;80,51;84,4;0;100;17,56
28;HSV;Value;23,89;13,73;0,39;100;25,96
28;Lab;Lightness;17,58;6,35;0,06;100;25,34
28;Lab;Green-Red;5,98;5,46;-17,58;32,81;5,62
28;Lab;Blue-Yellow;14,55;7,57;-11;76,72;16,55
28;LCH;Lightness;17,58;6,35;0,06;100;25,34
28;LCH;Chroma;16,98;11,34;0;76,93;16,27
28;LCH;Hue;53,86;49,79;0,02;359,94;28,17
29;RGB;Red;124,91;119;0;255;77,28
29;RGB;Green;92,6;77;0;255;71,76
29;RGB;Blue;36,52;20;0;255;39,89
29;HSV;Hue;39,37;35,05;0;359,09;43,44
29;HSV;Saturation;77,63;79,25;0;100;16,38
29;HSV;Value;49,01;46,67;0;100;30,31
29;Lab;Lightness;40,11;36,61;0;100;28,86
29;Lab;Green-Red;7,46;8,33;-14,81;66,67;5,72
29;Lab;Blue-Yellow;33,82;35,44;-38,2;74,84;19,65
29;LCH;Lightness;40,11;36,61;0;100;28,86
29;LCH;Chroma;35,67;37,34;0;81,48;18,61
29;LCH;Hue;72,08;72,63;0;359,91;33,25
30;RGB;Red;134,31;129;0;255;64,68
30;RGB;Green;79,89;80;0;255;43,78
30;RGB;Blue;40,04;36;0;243;32,18
30;HSV;Hue;27,31;24,53;0;358,38;21,37
30;HSV;Saturation;72,48;75,31;0;100;20,13
30;HSV;Value;52,7;50,59;0;100;25,35
30;Lab;Lightness;38,96;39,4;0;99,71;19,83
30;Lab;Green-Red;18,97;21,59;-17,43;48,47;10,43
30;Lab;Blue-Yellow;31,1;29,56;-6,55;78,78;15,77
30;LCH;Lightness;38,96;39,4;0;99,71;19,83
30;LCH;Chroma;37,06;37,03;0;82,96;17,63
30;LCH;Hue;59,98;57,1;0;359,78;19,62
31;RGB;Red;136,36;128;0;255;55,9
31;RGB;Green;90,45;83;0;255;45,72
31;RGB;Blue;18,28;13;0;191;17,56
31;HSV;Hue;35,24;33,87;0;358,57;18,53
31;HSV;Saturation;84,78;90;0;100;16,61
31;HSV;Value;53,48;50,2;0;100;21,92
31;Lab;Lightness;41,7;39,28;0;98,65;18,89
31;Lab;Green-Red;13,2;14,12;-20,85;30,09;5,84
31;Lab;Blue-Yellow;42,7;40,27;-6,62;91,36;19,48
31;LCH;Lightness;41,7;39,28;0;98,65;18,89
31;LCH;Chroma;45,28;43,54;0;93,29;19,01
31;LCH;Hue;70,59;70,63;0;359,96;14,29
32;RGB;Red;107,78;92;0;255;68,36
32;RGB;Green;64,81;46;0;255;55,87
32;RGB;Blue;19,75;8;0;255;31,72
32;HSV;Hue;35,52;28;0;359,09;42,89
32;HSV;Saturation;84,98;90;0;100;16,62
32;HSV;Value;42,45;36,08;0;100;26,8
32;Lab;Lightness;30,81;24,45;0;100;23,45
32;Lab;Green-Red;14,86;15,97;-19,51;42,06;8,26
32;Lab;Blue-Yellow;30,95;30,11;-50,3;85,45;19,66
32;LCH;Lightness;30,81;24,45;0;100;23,45
32;LCH;Chroma;35,56;35,49;0;85,67;19,22
32;LCH;Hue;66,83;60,42;0;359,97;39,59
33;RGB;Red;100,55;104;3;255;57,96
33;RGB;Green;50,67;48;0;255;38,5
33;RGB;Blue;25,58;21;0;255;24,51
33;HSV;Hue;47;20,4;0;359,46;93,32
33;HSV;Saturation;72,51;77,08;0;100;14,45
33;HSV;Value;39,45;41,18;1,96;100;22,74
33;Lab;Lightness;26,6;27,1;0,35;100;18,19
33;Lab;Green-Red;19,61;22,4;-20,79;48,49;9,72
33;Lab;Blue-Yellow;23,98;27,03;-34,44;70,61;15,47
33;LCH;Lightness;26,6;27,1;0,35;100;18,19
33;LCH;Chroma;31,54;35,46;0;74,85;17,28
33;LCH;Hue;55,92;50,59;0;359,98;58,01
34;RGB;Red;122,1;111;7;255;88,92
34;RGB;Green;69,62;53;0;255;59,95
34;RGB;Blue;27,71;20;0;140;23,29
34;HSV;Hue;30,15;22,4;0;358,6;54,88
34;HSV;Saturation;75,29;75,7;11,76;100;9,67
34;HSV;Value;47,88;43,53;2,75;100;34,87
34;Lab;Lightness;33,66;29,37;0,41;97,87;27,53
34;Lab;Green-Red;17,92;19,27;-17,17;42,69;11,31
34;Lab;Blue-Yellow;30,53;30,04;-4,27;79,11;23,98
34;LCH;Lightness;33,66;29,37;0,41;97,87;27,53
34;LCH;Chroma;36,2;37,84;0,56;80,64;25,41
34;LCH;Hue;50,43;53,17;0,1;359,93;21,9
35;RGB;Red;137,68;139;1;255;75,51
35;RGB;Green;82,91;74;0;255;57,09
35;RGB;Blue;32,18;23;0;255;30,62
35;HSV;Hue;27,59;27,17;0;358,87;15,1
35;HSV;Saturation;78,41;79,79;1,18;100;14
