#;Space;Channel;Mean;Median;Min;Max;Std
646;LCH;Hue;91,35;67,49;0;360;75,05
647;RGB;Red;131,42;104;0;255;78,19
647;RGB;Green;121;85;0;255;85,61
647;RGB;Blue;119,79;81;0;255;85,64
647;HSV;Hue;114,71;26,47;0;359,17;134,08
647;HSV;Saturation;20,98;19,51;0;100;16,42
647;HSV;Value;52,5;41,18;0;100;31,21
647;Lab;Lightness;49,8;38,06;0;100;32,91
647;Lab;Green-Red;4,61;4,64;-38,35;32,64;4,94
647;Lab;Blue-Yellow;2,54;2,06;-17,54;55,26;5,68
647;LCH;Lightness;49,8;38,06;0;100;32,91
647;LCH;Chroma;7,52;7,23;0;66,14;5,27
647;LCH;Hue;124,72;66,95;0;360;113,5
648;RGB;Red;140,85;132;3;255;64,47
648;RGB;Green;139,46;130;11;255;65,98
648;RGB;Blue;124,86;111;0;255;66,91
648;HSV;Hue;77,02;48;0;359,14;73,06
648;HSV;Saturation;19,28;18,13;0;100;13,21
648;HSV;Value;57,59;55,29;4,71;100;25,25
648;Lab;Lightness;56,81;54,39;3,03;100;25,2
648;Lab;Green-Red;-1,75;-0,03;-40;34,89;7,61
648;Lab;Blue-Yellow;8,28;7,16;-21,9;69,56;8,75
648;LCH;Lightness;56,81;54,39;3,03;100;25,2
648;LCH;Chroma;11,13;9,21;0;76,37;9,06
648;LCH;Hue;118,53;109,01;0,01;360;62,96
649;RGB;Red;121,14;115;0;255;67,04
649;RGB;Green;121,91;129;0;255;69,78
649;RGB;Blue;117,83;107;0;255;80,72
649;HSV;Hue;90,04;40;0;359;87,05
649;HSV;Saturation;33,55;32,76;0;100;20,64
649;HSV;Value;55,37;60,39;0;100;30,38
649;Lab;Lightness;49,95;56,15;0;100;27,78
649;Lab;Green-Red;0,87;0,66;-14,21;43,02;6,04
649;Lab;Blue-Yellow;3,07;6,56;-35,62;59,43;17,4
649;LCH;Lightness;49,95;56,15;0;100;27,78
649;LCH;Chroma;15,15;13,32;0;65,95;10,95
649;LCH;Hue;134,51;88,96;0;359,98;87,14
650;RGB;Red;122,07;128;0;255;66,83
650;RGB;Green;121,81;120;0;255;75,43
650;RGB;Blue;111,74;95;0;255;78,2
650;HSV;Hue;93,31;48,39;0;357,14;88
650;HSV;Saturation;21,23;20,97;0;100;14,67
650;HSV;Value;50,28;50,59;0;100;29,03
650;Lab;Lightness;49,35;50,74;0;100;29,31
650;Lab;Green-Red;-1,09;-0,55;-19,8;22,4;4,74
650;Lab;Blue-Yellow;5,94;4,23;-43,05;73,67;8,77
650;LCH;Lightness;49,35;50,74;0;100;29,31
650;LCH;Chroma;9,58;8,18;0;75,29;6,64
650;LCH;Hue;129,77;98,55;0;359,99;80,6
651;RGB;Red;153,1;160;11;255;47,02
651;RGB;Green;144,79;152;10;255;46,58
651;RGB;Blue;129,4;124;3;255;57,59
651;HSV;Hue;98;47,69;0;356,84;100,36
651;HSV;Saturation;22,2;20,37;0;83,72;12,75
651;HSV;Value;61,77;63,14;4,31;100;20,03
651;Lab;Lightness;59,87;62,81;2,66;100;18,59
651;Lab;Green-Red;0,85;0,65;-9,81;13,15;4,01
651;Lab;Blue-Yellow;9,5;11,66;-26,73;39,42;14,21
651;LCH;Lightness;59,87;62,81;2,66;100;18,59
651;LCH;Chroma;15,22;15,52;0;39,61;8,79
651;LCH;Hue;135,84;96,25;0;360;94,79
652;RGB;Red;77,77;78;0;255;58,43
652;RGB;Green;69,47;53;0;255;55,32
652;RGB;Blue;75,85;40;0;255;68,8
652;HSV;Hue;140,3;204,49;0;359,09;109,25
652;HSV;Saturation;53;52,03;0;100;19,19
652;HSV;Value;40,26;39,22;0,39;100;26,61
652;Lab;Lightness;30,3;27,56;0,04;100;23,04
652;Lab;Green-Red;7,71;3,89;-13,1;36,79;9,43
652;Lab;Blue-Yellow;-0,75;-1,84;-43,68;46,22;20,48
652;LCH;Lightness;30,3;27,56;0,04;100;23,04
652;LCH;Chroma;20,36;22,8;0;48,79;12,41
652;LCH;Hue;175,85;255,01;0,01;360;116,72
653;RGB;Red;110,11;101;10;255;68,74
653;RGB;Green;111,8;95;19;255;52,91
653;RGB;Blue;120,94;103;3;255;45,44
653;HSV;Hue;172,48;206,67;0;359,46;109,93
653;HSV;Saturation;29,43;23,02;0;88,89;20,84
653;HSV;Value;50,99;43,53;10,2;100;20,27
653;Lab;Lightness;46,7;41,69;6,37;100;21,66
653;Lab;Green-Red;2,18;0,96;-39,43;45,6;7,49
653;Lab;Blue-Yellow;-5,44;-5,12;-32,55;34,08;9,81
653;LCH;Lightness;46,7;41,69;6,37;100;21,66
653;LCH;Chroma;11,82;13,13;0;53,85;6,86
653;LCH;Hue;192,18;251,36;0;360;112,91
654;RGB;Red;123,75;110;0;255;65,65
654;RGB;Green;108,75;87;0;255;67,05
654;RGB;Blue;100,46;72;0;255;70,71
654;HSV;Hue;102,92;31,58;0;358,6;121,16
654;HSV;Saturation;28,51;27,78;0;100;17,99
654;HSV;Value;49,67;43,53;0,39;100;25,72
654;Lab;Lightness;45,92;38,94;0,02;100;26,17
654;Lab;Green-Red;5,21;5,21;-27,57;21,96;4,32
654;Lab;Blue-Yellow;7,15;7,21;-32,01;65,65;11,67
654;LCH;Lightness;45,92;38,94;0,02;100;26,17
654;LCH;Chroma;12,82;12,18;0;68,24;8,29
654;LCH;Hue;133,44;75,59;0;360;110,98
655;RGB;Red;124,88;119;0;255;58,62
655;RGB;Green;131,51;132;0;255;50,28
655;RGB;Blue;64,46;59;0;198;35,76
655;HSV;Hue;71,7;67,06;0;330;22,98
655;HSV;Saturation;55,72;52,69;16,67;100;16,95
655;HSV;Value;55,1;55,29;0,39;100;21,8
655;Lab;Lightness;52,59;53,83;0,06;98,77;19,9
655;Lab;Green-Red;-12,02;-10,01;-33,61;32,74;10,96
655;Lab;Blue-Yellow;34,24;30,15;-0,94;90,65;14,92
655;LCH;Lightness;52,59;53,83;0,06;98,77;19,9
655;LCH;Chroma;38,34;36,54;0,28;92,74;13,77
655;LCH;Hue;111,83;111,97;19,41;343,65;18,25
656;RGB;Red;106,96;116;0;255;49,04
656;RGB;Green;130,76;156;0;255;59,24
656;RGB;Blue;88,56;101;0;239;47,7
656;HSV;Hue;89,22;102,46;0;356;26,67
656;HSV;Saturation;35,97;33,59;0;100;13,03
656;HSV;Value;52,19;61,57;0;100;22,99
656;Lab;Lightness;50,95;60,45;0;99,62;22,98
656;Lab;Green-Red;-15,86;-22,51;-32,97;48,07;11,71
656;Lab;Blue-Yellow;19,98;22,11;-4,53;64,58;7,96
656;LCH;Lightness;50,95;60,45;0;99,62;22,98
656;LCH;Chroma;26,81;31,96;0;64,58;11,5
656;LCH;Hue;124,41;134,38;0;359,52;19,25
657;RGB;Red;94,34;84;0;255;51,37
657;RGB;Green;119,81;122;0;255;58,31
657;RGB;Blue;79,1;71;0;255;46,55
657;HSV;Hue;92,14;85,71;0;357,78;49,54
657;HSV;Saturation;41,56;44,77;0;100;17,12
657;HSV;Value;48,02;49,02;0,39;100;22,83
657;Lab;Lightness;46,82;48,71;0,06;100;22,07
657;Lab;Green-Red;-15,66;-12,43;-47,1;14,79;14,83
657;Lab;Blue-Yellow;19,34;16,71;-7,81;75,37;13,14
657;LCH;Lightness;46,82;48,71;0,06;100;22,07
657;LCH;Chroma;27,27;26,43;0;78,58;16,37
657;LCH;Hue;123,59;124,68;0,01;360;37,44
658;RGB;Red;90,37;88;1;255;37,13
658;RGB;Green;145,41;158;19;255;55,8
658;RGB;Blue;87,04;93;0;222;41,1
658;HSV;Hue;112,45;122,54;49,02;155,22;21,85
658;HSV;Saturation;46,52;46,82;12,94;100;6,7
658;HSV;Value;57,03;61,96;7,45;100;21,88
658;Lab;Lightness;54,69;59,5;4,73;99,16;20,37
658;Lab;Green-Red;-29,46;-36,11;-47,12;-2,82;12,03
658;Lab;Blue-Yellow;25,43;26,65;2,96;60,02;6,16
658;LCH;Lightness;54,69;59,5;4,73;99,16;20,37
658;LCH;Chroma;39,6;45,57;6,08;62,71;11,37
658;LCH;Hue;137,12;142,11;94,2;162,25;11,14
659;RGB;Red;88,81;72;7;255;66,37
659;RGB;Green;87;71;12;255;61,51
659;RGB;Blue;61,09;49;0;255;41,82
659;HSV;Hue;94,54;64;0;357;62,12
659;HSV;Saturation;31;30;0;100;12,88
659;HSV;Value;35,93;30,2;5,88;100;25,49
659;Lab;Lightness;35,06;29,72;3,57;100;25,31
659;Lab;Green-Red;-3,54;-3,35;-26,85;23,47;3,73
659;Lab;Blue-Yellow;14,36;13,77;-20,79;63,8;13,22
659;LCH;Lightness;35,06;29,72;3,57;100;25,31
659;LCH;Chroma;16,09;14,76;0;64,29;12,19
659;LCH;Hue;131,84;110,17;0,01;359,99;52,74
660;RGB;Red;93,8;83;0;255;44,99
660;RGB;Green;114,08;115;1;255;41,85
660;RGB;Blue;104,59;102;0;255;40,78
660;HSV;Hue;134,9;165,56;0;357,93;70,09
660;HSV;Saturation;26,92;25,21;0;100;13,18
660;HSV;Value;46,06;46,67;0,39;100;17,06
660;Lab;Lightness;45,92;46,21;0,2;100;16,55
660;Lab;Green-Red;-8,83;-6,34;-35,63;23,39;9,69
660;Lab;Blue-Yellow;3,14;1,23;-12,66;35,44;5,63
660;LCH;Lightness;45,92;46,21;0,2;100;16,55
660;LCH;Chroma;12,92;12,05;0;36,36;6,81
660;LCH;Hue;158,1;176,19;0;359,99;59,32
661;RGB;Red;79,98;74;0;255;58,28
661;RGB;Green;79,25;73;7;255;49,53
661;RGB;Blue;65,99;60;0;245;40,71
661;HSV;Hue;96,36;70,91;0;353,33;60,26
661;HSV;Saturation;30,96;25;0;100;20,47
661;HSV;Value;33,22;29,8;2,75;100;21,43
661;Lab;Lightness;32,54;30,79;1,55;99,76;21,25
661;Lab;Green-Red;-1,89;-2,23;-14,83;17,86;3,15
661;Lab;Blue-Yellow;7,38;5,67;-7,98;40,78;8,15
661;LCH;Lightness;32,54;30,79;1,55;99,76;21,25
661;LCH;Chroma;9,52;7,17;0;41,06;6,63
661;LCH;Hue;131,63;116,35;0,39;359,76;49,84
662;RGB;Red;111,54;110;0;255;63,01
662;RGB;Green;115,32;110;0;255;58,7
662;RGB;Blue;115,97;110;0;255;56,16
662;HSV;Hue;111,13;67,5;0;358,64;81,21
662;HSV;Saturation;20,75;12,5;0;100;21,11
662;HSV;Value;49,04;47,06;0;100;22,29
662;Lab;Lightness;47,39;46,29;0;100;23,57
662;Lab;Green-Red;-0,21;-0,56;-17,38;37,68;3,34
662;Lab;Blue-Yellow;-0,88;2,86;-37,04;37,52;12,29
662;LCH;Lightness;47,39;46,29;0;100;23,57
662;LCH;Chroma;9,04;5,72;0;39,77;9,03
662;LCH;Hue;157,12;114,6;0;359,99;81,87
663;RGB;Red;56,24;34;11;255;45,93
663;RGB;Green;69,96;52;24;255;41,08
663;RGB;Blue;36,4;27;0;239;23,29
663;HSV;Hue;97,11;103,33;19,53;181,02;24,47
663;HSV;Saturation;48,86;47,37;5,56;100;9,21
663;HSV;Value;27,69;20,39;10,2;100;16,57
663;Lab;Lightness;27,06;19,43;7,95;99,33;17,09
663;Lab;Green-Red;-12,02;-11,41;-38,87;20,84;3,48
663;Lab;Blue-Yellow;17,82;14,11;-6,52;74,32;10,78
663;LCH;Lightness;27,06;19,43;7,95;99,33;17,09
663;LCH;Chroma;22,33;19,28;3,61;75,57;9,58
663;LCH;Hue;129,13;134,72;50,81;199,39;14,78
664;RGB;Red;113,04;96;0;255;73,43
664;RGB;Green;110,27;92;5;255;71,42
664;RGB;Blue;94,45;75;0;255;70,88
664;HSV;Hue;64;54,71;0;356,47;31,22
664;HSV;Saturation;23,58;22,78;0;100;13,88
664;HSV;Value;44,9;38,04;1,96;100;28,69
664;Lab;Lightness;44,76;39,07;1;100;28,68
664;Lab;Green-Red;-1,77;-2,02;-10,45;12,38;2,22
664;Lab;Blue-Yellow;9,29;8,16;-14,06;46,64;6,09
664;LCH;Lightness;44,76;39,07;1;100;28,68
664;LCH;Chroma;9,89;8,87;0;46,78;5,8
664;LCH;Hue;107,93;103,78;0,03;359,89;24,08
665;RGB;Red;174,43;183;12;255;41,7
665;RGB;Green;215,77;239;16;255;53,17
665;RGB;Blue;162,98;184;1;252;55,84
665;HSV;Hue;110,45;128,31;39,8;220;30,12
665;HSV;Saturation;30,06;26,94;1,18;96,3;10,06
665;HSV;Value;84,69;93,73;6,27;100;20,8
665;Lab;Lightness;81,79;89,22;4,41;99,93;19,2
665;Lab;Green-Red;-22,6;-24,96;-36,44;6,48;7,73
665;Lab;Blue-Yellow;21,98;19,3;-1,52;69,37;9,57
665;LCH;Lightness;81,79;89,22;4,41;99,93;19,2
665;LCH;Chroma;33,09;34,01;1,07;70,48;7,12
665;LCH;Hue;136,77;146,7;81,89;271,99;17,3
666;RGB;Red;117,43;115;0;255;39,24
666;RGB;Green;154,75;158;0;255;42,81
666;RGB;Blue;136,28;140;0;255;45,19
666;HSV;Hue;141,18;158,18;0;358,75;43,01
666;HSV;Saturation;30,2;30,22;0;100;9,49
666;HSV;Value;61,26;62,35;0;100;16,54
666;Lab;Lightness;60,46;61,84;0;100;16,01
666;Lab;Green-Red;-16,21;-19,41;-29,85;47,85;7,55
666;Lab;Blue-Yellow;5,85;3,7;-20,61;79,67;7,07
666;LCH;Lightness;60,46;61,84;0;100;16,01
666;LCH;Chroma;19,38;20,07;0;81,65;5,33
666;LCH;Hue;157,2;168,44;0;359,99;30,5
667;RGB;Red;110,23;123;3;255;67,29
667;RGB;Green;121,85;149;4;255;71,19
667;RGB;Blue;64,86;31;0;226;62,35
667;HSV;Hue;67,86;71,78;0;356,47;27,32
667;HSV;Saturation;47,76;51,72;0;100;30,86
667;HSV;Value;48,59;58,82;2,35;100;28,38
667;Lab;Lightness;47,67;58,82;1,31;99,31;28,22
667;Lab;Green-Red;-11,95;-6,1;-64,21;7,46;13,99
667;Lab;Blue-Yellow;25,56;9,1;-5,62;91,8;26,65
667;LCH;Lightness;47,67;58,82;1,31;99,31;28,22
667;LCH;Chroma;28,8;10,95;0;104,76;29,55
667;LCH;Hue;110,28;114,96;2,78;359,73;23,72
668;RGB;Red;69,72;67;0;255;48,84
668;RGB;Green;57,4;50;0;255;45,95
668;RGB;Blue;40,68;25;0;255;47,86
668;HSV;Hue;75,33;38,95;0;358,57;97,78
668;HSV;Saturation;49,08;54,55;0;100;22,48
668;HSV;Value;27,42;26,27;0;100;19,1
668;Lab;Lightness;24,33;22,04;0;100;19,33
668;Lab;Green-Red;2,98;2,56;-8,72;22,86;3,09
668;Lab;Blue-Yellow;12,01;11,73;-18,69;42,01;10,11
668;LCH;Lightness;24,33;22,04;0;100;19,33
668;LCH;Chroma;13,53;12,8;0;42,26;9,05
668;LCH;Hue;105,03;81,93;0;360;83,66
669;RGB;Red;123,43;126;0;255;70,36
669;RGB;Green;116,9;118;0;255;68,2
669;RGB;Blue;109,42;103;0;255;72,77
669;HSV;Hue;142,97;60;0;357,39;124,84
669;HSV;Saturation;20,53;16,19;0;100;16,71
669;HSV;Value;48,76;49,8;0;100;27,45
669;Lab;Lightness;48,23;50,2;0;100;27,48
669;Lab;Green-Red;1,27;0,68;-42,42;25,7;4,06
669;Lab;Blue-Yellow;5,33;3,74;-18,22;47,44;8,84
669;LCH;Lightness;48,23;50,2;0;100;27,48
669;LCH;Chroma;9,28;8,32;0;51,99;6,21
669;LCH;Hue;181,97;108,59;0;360;112,46
670;RGB;Red;143,16;140;26;255;38,7
670;RGB;Green;147,03;149;35;255;37,01
670;RGB;Blue;123,8;118;28;255;35,43
670;HSV;Hue;85,4;60;0;358,67;65,59
670;HSV;Saturation;23,11;23,26;0;71,51;9,06
670;HSV;Value;60,13;60,78;15,29;100;14,65
670;Lab;Lightness;59,88;61,06;13,28;99,95;14
670;Lab;Green-Red;-5,12;-3,92;-26,51;23,16;8,28
670;Lab;Blue-Yellow;12;11,76;-18,65;51,67;8,48
670;LCH;Lightness;59,88;61,06;13,28;99,95;14
670;LCH;Chroma;16,24;16,71;0;51,89;6,86
670;LCH;Hue;119,04;106,81;0;359,99;51,2
671;RGB;Red;117,6;116;11;255;54,91
671;RGB;Green;140,64;145;11;255;60,64
671;RGB;Blue;105,3;99;14;255;51,58
671;HSV;Hue;102,32;98,3;0;345;34,18
671;HSV;Saturation;26,99;28,21;0;65;9,45
671;HSV;Value;55,19;56,86;5,49;100;23,75
671;Lab;Lightness;54,94;56,92;3,15;100;23,32
671;Lab;Green-Red;-14,71;-15,7;-39,34;3,42;7,15
671;Lab;Blue-Yellow;16,08;17,08;-8,03;49,23;7,98
671;LCH;Lightness;54,94;56,92;3,15;100;23,32
671;LCH;Chroma;22,47;24,5;0;49,88;9,21
671;LCH;Hue;136,58;133,36;0,36;354,69;25,01
672;RGB;Red;101,15;106;5;255;51,64
672;RGB;Green;169,99;173;26;255;38,37
672;RGB;Blue;116,87;121;2;255;38,56
672;HSV;Hue;121,19;114,16;0;351,43;25,28
672;HSV;Saturation;43,65;28,28;0;97,37;25,14
672;HSV;Value;66,72;67,84;10,2;100;14,99
672;Lab;Lightness;64,4;66,2;8,56;100;13,41
672;Lab;Green-Red;-30,17;-19,77;-84,6;42,35;18,61
672;Lab;Blue-Yellow;21,14;19,14;-41,41;81,76;12,26
672;LCH;Lightness;64,4;66,2;8,56;100;13,41
672;LCH;Chroma;37,7;27,83;0;117,66;20,78
672;LCH;Hue;142,94;138,72;0,32;359,68;14,21
673;RGB;Red;84,29;62;0;255;74,58
673;RGB;Green;77,84;56;0;255;71,42
673;RGB;Blue;74,1;51;0;255;71,94
673;HSV;Hue;88,89;30;0;359,38;121,62
673;HSV;Saturation;19,65;17,95;0;100;16,09
673;HSV;Value;33,74;24,71;0;100;29,49
673;Lab;Lightness;31,97;24,01;0;100;28,99
673;Lab;Green-Red;2,08;1,29;-76,4;40,23;6,53
673;Lab;Blue-Yellow;3,19;2,41;-55,51;71,32;5,77
673;LCH;Lightness;31,97;24,01;0;100;28,99
673;LCH;Chroma;5,76;3,7;0;90,9;7,57
673;LCH;Hue;106,05;75,07;0;360;95,48
674;RGB;Red;117,89;115;0;255;47,19
674;RGB;Green;120,35;114;0;255;47,72
674;RGB;Blue;124,85;120;0;255;54,39
674;HSV;Hue;158,13;196,36;0;359,53;98,42
674;HSV;Saturation;12,87;9,16;0;100;13,06
674;HSV;Value;50,74;48,24;0;100;21,07
674;Lab;Lightness;49,89;48,24;0;100;18,9
674;Lab;Green-Red;0,28;0,19;-20,43;55,89;2,88
674;Lab;Blue-Yellow;-2,54;-1,02;-41,98;51,98;8,04
674;LCH;Lightness;49,89;48,24;0;100;18,9
674;LCH;Chroma;6,62;4,35;0;66,15;5,97
674;LCH;Hue;195,07;220,25;0;360;99,07
675;RGB;Red;145,26;158;0;255;66
675;RGB;Green;138,21;150;0;232;60,94
675;RGB;Blue;133,11;132;0;227;58,13
675;HSV;Hue;112,48;42;0;358,98;96,25
675;HSV;Saturation;27,7;20,98;0;100;22,98
675;HSV;Value;61,45;67,45;0;100;25,45
675;Lab;Lightness;57,22;63,6;0;92,98;24,6
675;Lab;Green-Red;2,43;1,33;-10,51;44,17;6,11
675;Lab;Blue-Yellow;3,85;4,44;-22,92;57,39;12,68
675;LCH;Lightness;57,22;63,6;0;92,98;24,6
675;LCH;Chroma;12,31;10,62;0;67,91;8,21
675;LCH;Hue;150,46;90,49;0;360;96,19
676;RGB;Red;118,71;118;0;255;46,08
676;RGB;Green;129,68;126;1;255;49,91
676;RGB;Blue;138,41;132;0;255;61,82
676;HSV;Hue;153,88;202,29;0;359,37;81,63
676;HSV;Saturation;20,95;18,64;0;100;12,15
676;HSV;Value;56,76;53,33;1,57;100;23,04
676;Lab;Lightness;53,07;52,43;0,78;100;19,64
676;Lab;Green-Red;-1,38;-1,9;-19,92;43,48;3,76
676;Lab;Blue-Yellow;-5,44;-4,91;-47,47;57,76;12,25
676;LCH;Lightness;53,07;52,43;0,78;100;19,64
676;LCH;Chroma;11,14;7,89;0;57,76;8,47
676;LCH;Hue;195,03;241,32;0;359,99;83,34
677;RGB;Red;116,65;121;0;255;53,62
677;RGB;Green;135;140;7;255;55,88
677;RGB;Blue;148,77;157;15;255;60,82
677;HSV;Hue;197,6;205,45;0;340;23,61
677;HSV;Saturation;23,35;21,92;0;100;13,76
677;HSV;Value;58,5;61,57;7,45;100;23,75
677;Lab;Lightness;54,48;57,44;2,28;99,98;22,03
677;Lab;Green-Red;-3,23;-3,1;-12,74;10,02;1,61
677;Lab;Blue-Yellow;-9,43;-9,59;-39,83;9,03;6,95
677;LCH;Lightness;54,48;57,44;2,28;99,98;22,03
677;LCH;Chroma;10,67;10,38;0;40,43;6,03
677;LCH;Hue;238,31;250,46;19,43;353,93;31,92
678;RGB;Red;125,37;127;15;255;33,15
678;RGB;Green;122,63;121;13;255;38,34
678;RGB;Blue;123,5;117;6;255;46,92
678;HSV;Hue;104,97;32,31;0;356,84;102,23
678;HSV;Saturation;20,02;19,81;0;76,92;8,92
678;HSV;Value;54,08;53,33;5,88;100;15,94
678;Lab;Lightness;51,44;51,08;3,78;100;14,76
678;Lab;Green-Red;1,88;2,36;-8,21;11,9;2,48
678;Lab;Blue-Yellow;0,28;3,45;-24,38;27,56;10,46
678;LCH;Lightness;51,44;51,08;3,78;100;14,76
678;LCH;Chroma;9,92;9,81;0;27,85;4,56
678;LCH;Hue;142,52;75,35;0;359,99;104,15
679;RGB;Red;136,68;149;0;255;51,95
679;RGB;Green;140,2;154;0;240;51,79
679;RGB;Blue;144,45;155;0;223;51,69
679;HSV;Hue;162,86;205,71;0;358,98;92,44
679;HSV;Saturation;12,87;10,13;0;100;10,93
679;HSV;Value;58,24;61,96;0;100;20,18
679;Lab;Lightness;57,46;63,41;0;94,9;20,47
679;Lab;Green-Red;-0,17;-0,81;-7,18;28,53;2,83
679;Lab;Blue-Yellow;-2,7;-2,34;-23,18;36,25;6,14
679;LCH;Lightness;57,46;63,41;0;94,9;20,47
679;LCH;Chroma;6,04;5,08;0;38,69;4,06
679;LCH;Hue;201,43;247,85;0;360;91,22
680;RGB;Red;116,13;110;0;255;72,66
680;RGB;Green;125,62;121;0;255;71,42
680;RGB;Blue;134,02;134;0;253;64,93
680;HSV;Hue;180,68;208,12;0;356,84;65,31
680;HSV;Saturation;24,65;17,42;0;100;19,36
680;HSV;Value;53,67;53,33;0;100;26,04
680;Lab;Lightness;50,71;50,39;0;99,95;28,32
680;Lab;Green-Red;-1,05;-1,15;-8,03;22,56;2,64
680;Lab;Blue-Yellow;-6,21;-7,49;-18,84;40,28;7,44
680;LCH;Lightness;50,71;50,39;0;99,95;28,32
680;LCH;Chroma;8,98;8,48;0;43,9;4,61
680;LCH;Hue;224,17;254,59;0;359,98;69,59
681;RGB;Red;115,82;125;9;229;52,36
681;RGB;Green;124,41;136;13;229;54,68
681;RGB;Blue;137,62;155;20;233;59,16
681;HSV;Hue;215,07;217,24;0;345;11,48
681;HSV;Saturation;16,26;15,75;0;55;5,15
681;HSV;Value;53,98;60,78;7,84;91,37;23,19
681;Lab;Lightness;50,92;56,58;3,58;90,99;22,15
681;Lab;Green-Red;-0,24;-0,11;-5,7;5,98;0,93
681;Lab;Blue-Yellow;-8,13;-8,55;-19,24;2,46;3,59
681;LCH;Lightness;50,92;56,58;3,58;90,99;22,15
681;LCH;Chroma;8,22;8,6;0;19,24;3,49
681;LCH;Hue;265,21;269,26;19,44;359,68;17,32
682;RGB;Red;96,68;82;0;255;64,15
682;RGB;Green;113,81;98;0;255;67,04
682;RGB;Blue;118,31;103;0;255;80,32
682;HSV;Hue;170,28;201,82;0;359,24;58,37
682;HSV;Saturation;34,63;29,29;0;100;20,29
682;HSV;Value;49,27;42,75;0;100;29,16
682;Lab;Lightness;45,47;40,55;0;100;26,78
682;Lab;Green-Red;-4,81;-4,57;-28,73;63,15;4,54
682;Lab;Blue-Yellow;-4,06;-8,16;-26,42;45,08;11,85
682;LCH;Lightness;45,47;40,55;0;100;26,78
682;LCH;Chroma;12,96;11,99;0;67,78;5,72
682;LCH;Hue;208,26;242,86;0;359,98;62,19
683;RGB;Red;122,91;110;0;255;64,36
683;RGB;Green;134,45;127;0;255;59,81
683;RGB;Blue;104,8;87;0;255;71,57
683;HSV;Hue;102,33;88,12;0;359,02;47,26
683;HSV;Saturation;31,3;28,28;0;100;23,43
683;HSV;Value;53,29;49,8;0;100;23,87
683;Lab;Lightness;53,59;50,81;0;100;23,78
683;Lab;Green-Red;-9,63;-10,49;-36,24;65,39;7,14
683;Lab;Blue-Yellow;14,84;14,35;-13,81;72,26;11,93
683;LCH;Lightness;53,59;50,81;0;100;23,78
683;LCH;Chroma;18,76;18,49;0;77,88;12,43
683;LCH;Hue;140,01;126,57;0;359,99;45,07
684;RGB;Red;98,98;98;0;255;70,94
684;RGB;Green;105,42;108;0;255;69,93
684;RGB;Blue;111,08;111;0;255;73,89
684;HSV;Hue;155,69;207;0;358,42;87,64
684;HSV;Saturation;27,41;27,86;0;100;15,71
684;HSV;Value;48,11;48,24;0;100;31,61
684;Lab;Lightness;42,88;45,45;0;99,64;28,82
684;Lab;Green-Red;-0,11;-0,66;-11,41;35,38;4,61
684;Lab;Blue-Yellow;-3,75;-5,43;-30,36;65,38;14,89
684;LCH;Lightness;42,88;45,45;0;99,64;28,82
684;LCH;Chroma;12,32;10,48;0;69,13;10,26
684;LCH;Hue;205,04;253,68;0;359,99;83,44
685;RGB;Red;153,85;154;19;255;59,36
685;RGB;Green;158,59;160;22;255;57,18
685;RGB;Blue;126,25;113;0;255;65,02
685;HSV;Hue;87,64;70;0;359,31;63
685;HSV;Saturation;24,62;19,82;0;100;20,79
685;HSV;Value;63,52;64,31;9,02;100;22,62
685;Lab;Lightness;63,58;64,58;6,98;100;21,84
685;Lab;Green-Red;-6,74;-4,85;-32,13;47,03;7,92
685;Lab;Blue-Yellow;16,16;12,4;-23,64;77,76;17,46
685;LCH;Lightness;63,58;64,58;6,98;100;21,84
685;LCH;Chroma;19,16;14,71;0;81,04;17,52
685;LCH;Hue;134,94;116,43;0,01;359,99;55
686;RGB;Red;88,5;45;3;255;89,01
686;RGB;Green;82,47;47;0;255;83,57
686;RGB;Blue;81,66;53;0;255;83,85
686;HSV;Hue;129,51;60;0;358,93;123,18
686;HSV;Saturation;25,03;20,75;0;100;18,19
686;HSV;Value;35,63;21,57;1,18;100;34,8
686;Lab;Lightness;33,42;19,44;0,23;100;34,23
686;Lab;Green-Red;2,29;0,75;-11,59;28,65;4,03
686;Lab;Blue-Yellow;0,96;1,04;-18,89;57,75;5,5
686;LCH;Lightness;33,42;19,44;0,23;100;34,23
686;LCH;Chroma;4,97;3,14;0;58,15;5,29
686;LCH;Hue;148,08;101,13;0;360;112,03
687;RGB;Red;109,35;119;0;255;76,15
687;RGB;Green;131,67;137;0;255;82,66
687;RGB;Blue;141,99;149;0;255;97,56
687;HSV;Hue;162,62;198,9;0;359,24;69,01
687;HSV;Saturation;36,08;36,75;0;100;19,87
687;HSV;Value;58,41;63,92;0;100;36,45
687;Lab;Lightness;51,89;57,52;0;100;32,72
687;Lab;Green-Red;-4,59;-6,15;-17,62;48,68;6,22
687;Lab;Blue-Yellow;-7,12;-4,75;-59,7;41,76;14,04
687;LCH;Lightness;51,89;57,52;0;100;32,72
687;LCH;Chroma;14,93;12,13;0;64,14;9,21
687;LCH;Hue;199,07;234,87;0;359,99;71,58
688;RGB;Red;111,01;105;2;255;51,57
688;RGB;Green;110,17;112;1;255;49,42
688;RGB;Blue;111,36;121;0;255;55,96
688;HSV;Hue;142,14;187,5;0;359,1;111,18
688;HSV;Saturation;21,93;20;0;100;13,06
688;HSV;Value;48,12;50,59;0,78;100;20,67
