#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
773;148,8;146,5;144;121,1;11,3;59,6;59,8;4,8;#CCCCCE;33,07;very light grey;#544D45;17,92;dark orange;#6D6F71;14,65;grey;#383027;12,46;dark orange;#A1A09E;11,18;light grey
774;131,8;131;142,2;242,6;12,1;55,9;53,7;7;#E0DFEB;31,89;very light grey;#8C8D96;17,6;grey;#4C4C5C;15,23;dark blue;#6D6F7B;12,77;pale blue;#393642;12,2;dark blue-violet
775;140,5;145,7;155,5;205,8;16,4;62,2;59,6;8,1;#C1C5CE;33,79;very light grey;#9BA2AE;25,78;pale blue-cyan;#707A89;17,88;pale blue-cyan;#444E5C;12,72;dark blue-cyan;#131317;5,99;very dark blue
776;83,4;111,3;141,5;189,4;50,2;59,4;45,8;27,2;#3F6DAF;31,05;blue-cyan;#2C1C1F;20,36;very dark red;#787385;17,31;pale blue-violet;#4BB3ED;17,08;blue-cyan;#D8CAB2;8,2;pale orange
777;143,4;159,9;168,1;163,7;31,7;71,7;64,6;18,2;#BBDEF8;36,64;pale blue-cyan;#959EA0;22,94;light grey;#4D7BA2;13,31;blue-cyan;#585951;12,38;dark yellow;#8F6244;11,62;red-orange
778;91,7;96,2;97,8;156;16,7;39,7;38,6;5,1;#131515;24,9;very dark cyan;#312E2A;19,82;very dark orange;#4C4D4E;17,28;dark grey;#E3F3F8;15,69;pale cyan;#6A7074;15,11;pale blue-cyan
779;117,6;116,4;102;93,8;30;49;48,1;13,6;#979492;38,21;grey;#3E491B;21,61;dark yellow;#6A6360;11,81;pale red-orange;#5B401F;10,83;dark orange;#D3E7F0;8,86;pale blue-cyan
780;153,4;159,9;168,6;200,6;12,4;67,4;65,2;7,6;#C5DCEB;31,18;pale blue-cyan;#7D7A7E;28,37;grey;#66707E;14,75;pale blue-cyan;#8F95A0;13,78;pale blue-cyan;#A1908A;8,85;pale red-orange
781;114,4;121;120,8;128,5;16,6;50,2;49,5;7,8;#646663;26,27;grey;#31362C;24,7;dark yellow-green;#96938E;24;grey;#68879C;12,16;blue-cyan;#EFEEED;7,88;white
782;137;148,7;153,1;175,6;18,6;62,6;60,4;9,8;#C0D7D8;25,25;pale cyan;#678696;21,21;blue-cyan;#63595C;19,38;pale red-violet;#98AEB1;18,61;pale cyan;#85706C;13,44;pale red
783;103,9;109,5;107,8;127,7;14,8;45;44,6;6,4;#262523;27,33;very dark grey;#9CA8A8;20,24;light grey;#718792;17,92;pale blue-cyan;#484742;16,84;dark yellow-orange;#7A7569;9,34;pale orange
784;149,9;156,3;161,2;145,1;21,6;66,8;63,1;11,5;#E3ECEC;32,53;very light grey;#A3ADAB;28,95;light grey;#72625D;16,94;pale red;#372F3A;12,34;dark blue-violet;#0A1A51;6,14;dark blue
785;151,7;163,1;156,6;143,2;11,1;64,7;65,5;7,5;#AEBAB1;35,91;light grey;#748386;23,89;pale cyan;#8F9D8B;15,85;pale green;#E5E9E9;13,42;very light grey;#565E4F;6,95;dark yellow-green
786;121,4;136,2;102,8;102,8;31,2;54,1;54,4;21,8;#6D8545;34,57;yellow-green;#68744B;16,35;yellow-green;#66726F;16,03;pale blue-green;#9CA18F;14,71;pale yellow-green;#E0E8E7;10,35;very light grey
787;93,5;102,1;114,3;146,2;19,9;46,1;41,5;10;#0C0C0E;31,15;very dark blue;#788FAC;24,03;blue-cyan;#B9CEE2;14,55;pale blue-cyan;#4A5267;12,59;blue-cyan;#8A8F92;11,69;grey
788;153,5;152,4;145,2;103;17,6;64;62,1;10,6;#BDB19F;43,65;pale orange;#434A41;15,73;dark green;#D5D9E3;15,26;very light grey;#99B0CF;9,61;blue-cyan;#7A7661;8,66;pale yellow-orange
789;102,9;105,3;102,7;127,6;28,7;43,8;41,9;6,6;#0E120C;37,14;very dark yellow-green;#CAD6DE;20,99;pale blue-cyan;#D3CCC2;15,7;pale orange;#2B333A;11,25;dark blue-cyan;#78787C;9,77;grey
790;127,2;132;132,9;164,1;12,9;53,4;53,6;4,8;#E0E6E9;24,62;very light grey;#73787A;22,54;grey;#2B2C23;16,19;very dark yellow;#50534F;15,3;dark grey;#9EA2A4;15,21;light grey
791;121;137,8;143,9;166,5;24,2;59,4;55,6;13,2;#576A70;20,46;pale cyan;#323D38;20,07;dark blue-green;#96BEE7;19,05;light blue-cyan;#89999E;15,27;pale cyan;#CEDCE7;13,21;pale blue-cyan
792;60,1;63,2;54,9;103,2;36,5;25,4;25,1;6,2;#090C08;44,7;very dark green;#ADB0AC;18;light grey;#313B3A;12,81;dark cyan;#1C2209;12,07;very dark yellow;#747771;9,48;grey
793;100,9;107,8;92,2;91,9;34,3;44,1;42,8;13,3;#212317;32,74;very dark yellow;#E0E8E7;18,73;very light grey;#313F19;16,9;dark yellow-green;#5F5F52;15,81;dark yellow;#99ACB6;10,07;pale blue-cyan
794;136,2;139,6;142,9;158,8;14,5;58,9;57,6;7,3;#9EABB6;26,57;pale blue-cyan;#758087;22,24;pale blue-cyan;#5A6069;19,34;pale blue-cyan;#C3C0BC;14,3;light grey;#9C8779;10,41;pale red-orange
795;139,8;143,4;145,3;170;8,1;58,1;58,5;4,5;#CBCED4;24,6;very light grey;#939698;19,37;grey;#AEB2B8;18,25;light grey;#323733;15;dark green;#4E514F;11,69;dark grey
796;108,9;109,5;116,2;226,1;11,3;45,9;44,9;4,7;#979AA2;19,98;light grey;#787B82;19,58;grey;#141316;18,7;very dark blue-violet;#56545C;15,08;dark blue-violet;#E4E5EE;13,6;white
797;94,8;121,8;136,4;194,7;33,9;53,6;49;13,2;#324955;27,28;dark blue-cyan;#A6B6B8;18,73;pale cyan;#76A1B7;17,75;blue-cyan;#63787E;16,01;pale cyan;#537CA0;14,9;blue-cyan
798;100,7;115;121;159,4;43;53,4;46,5;17,9;#182736;27,05;dark blue-cyan;#8FB7DC;24,96;light blue-cyan;#B0C1B9;14,16;pale blue-green;#55707D;12,44;blue-cyan;#4B3820;11,79;dark orange
799;85,5;103,5;118,4;141;43,5;49,8;41,8;17;#13130C;28,26;very dark yellow;#5786C0;20,21;blue-cyan;#7BADD4;16,3;light blue-cyan;#51412C;14,5;dark orange;#B3C1C9;12,37;pale blue-cyan
800;119,3;118,8;115,4;91,8;15,8;47,9;47,3;4,2;#1A1B14;34,41;very dark yellow;#F2F4F2;32,54;white;#3B3A3B;14,1;dark grey;#989D9C;7,76;light grey;#686461;6,64;grey
801;127,2;126,5;128,6;154,9;11,8;52,9;52,2;5,6;#A3A5AA;23,46;light grey;#787D89;20,72;pale blue-cyan;#262323;15,86;very dark grey;#D0D0D0;14,85;very light grey;#525052;14,36;dark grey
802;153,8;154,6;154,6;159,9;11,2;63,8;62,9;5,9;#DCDFDF;25,42;very light grey;#A9B3BC;23,61;pale blue-cyan;#595C5F;21,51;dark grey;#837D79;12,56;grey;#C8AF99;9,46;pale red-orange
803;118;128,2;136,9;194,1;24,1;55,5;52,1;10,7;#8D98A5;27,21;pale blue-cyan;#B8C6DA;24,43;pale blue-cyan;#687280;21,13;pale blue-cyan;#161E13;14,42;very dark yellow-green;#3C424A;8,92;dark blue-cyan
804;104,8;100,7;104,6;192,6;19;44,5;41,1;7,7;#100D0E;37,51;very dark red-violet;#808296;19,85;pale blue;#B4B5C0;19,57;light grey;#E9E1CE;10,01;pale orange;#36353B;8,18;dark blue
805;61,7;125,2;157,1;200,2;63;61,6;49,4;25,9;#2E7992;28,29;blue-cyan;#4C89AE;23,58;blue-cyan;#66ABCC;21,56;blue-cyan;#256182;15,75;blue-cyan;#1D436D;8,13;blue-cyan
806;110,2;125;149,1;154,7;35,8;62,9;51,9;22,4;#978776;31,08;pale orange;#4D76C1;22,53;blue-cyan;#75A4DA;15,48;blue-cyan;#363438;14,99;very dark grey;#41566F;8,85;blue-cyan
807;75,9;96;66,3;108,9;45,1;38;37,7;21,9;#31431C;28,99;dark yellow-green;#4E652D;21,24;yellow-green;#202C16;20,29;very dark yellow-green;#A6C0C5;11,13;pale cyan;#5E755D;9,19;pale green
808;117,5;138,3;161;157,4;39,7;68,1;56,6;23,3;#80B4EC;37,46;blue-cyan;#6B89AA;22,08;blue-cyan;#9C9893;14,64;light grey;#6E4B3B;11,64;red-orange;#291D17;7,56;very dark red-orange
809;120,8;123,6;118,7;153,3;21,5;50,8;50,6;8,7;#9DA0A3;25,83;light grey;#767C7F;21,46;grey;#CFD3DA;14,11;very light grey;#505657;13,55;dark cyan;#4E4819;12,93;dark yellow-orange
810;84,6;80,6;67,5;122,3;28,4;34,6;32,9;10,3;#0F1012;39,54;very dark blue-cyan;#626357;14,98;pale yellow;#3A3C38;14,82;dark grey;#98917C;14,16;pale orange;#BD9C59;8,62;orange
811;114,3;131,5;128,1;143,8;28,7;55,8;53,1;15,4;#5C7D8D;30,18;blue-cyan;#737B73;23,97;grey;#6D7B44;15,04;yellow-green;#BEB3AC;10,66;pale red-orange;#AED1F6;10,54;light blue-cyan
812;115,5;114;112,6;154,9;17,9;47,5;47,1;7,1;#908D91;32,16;grey;#3A3928;17,42;dark yellow-orange;#C4C7CD;17;very light grey;#1F1A12;11,57;very dark orange;#656357;10,98;pale yellow-orange
813;136,1;128,3;115,8;103,8;20;54,3;53,5;11,5;#9E9998;28,02;light grey;#D9CBC4;18,56;pale red-orange;#37362C;18,17;dark yellow-orange;#766F6B;16,82;pale red-orange;#6C7239;14,96;yellow
814;108,6;108,5;93;105,6;33,5;44,9;44,3;13,1;#8E8D88;25,02;grey;#373517;21,49;dark yellow-orange;#58574C;15,81;dark yellow-orange;#E5E9F3;14,55;white;#4E5317;12,48;dark yellow
815;105,3;107,3;105,6;126,7;14,1;43,8;43,7;4,8;#141917;23,04;very dark blue-green;#6C6B65;22,78;grey;#393F3E;16,65;dark cyan;#B1B2B5;14,29;light grey;#828E9C;11,89;pale blue-cyan
816;121,3;126,6;130,9;135,4;33,8;54,5;50,4;9,3;#E7EDED;32,27;very light grey;#0F0B0B;25,49;very dark red;#B8CBE1;12,87;pale blue-cyan;#3D2714;11,16;dark red-orange;#35474E;10,82;dark blue-cyan
817;101,1;128,1;142,3;170,3;37,2;59,6;51,4;20,9;#70A7E3;35,67;blue-cyan;#0F1618;14,29;very dark cyan;#B9BABC;14,12;light grey;#627A4D;13,27;yellow-green;#6F7C7C;12,67;pale cyan
818;100;104,6;113,5;155;25;47,6;43,3;12,5;#484435;29,86;dark yellow-orange;#454F5F;18,88;dark blue-cyan;#87A5DB;15,64;light blue-cyan;#77706E;13,86;grey;#262B33;11,78;dark blue-cyan
819;114,3;133,3;168;169,2;38,9;69,6;55,1;30,1;#6687D6;32,15;blue-cyan;#91ACF5;23,64;light blue-cyan;#7B7B75;15,94;grey;#5F6D3C;10,76;yellow-green;#192014;10,27;very dark yellow-green
820;108;132,5;162,7;214,1;35,6;63,8;53,9;19,5;#5B6F90;24,69;blue-cyan;#6686AD;21,14;blue-cyan;#BCDFFC;20,46;light blue-cyan;#304261;15,63;blue-cyan;#4C5E70;12;blue-cyan
821;133,2;134,8;135,8;148,9;5,7;54,2;55,6;2,9;#898B8D;25,25;grey;#6E7174;23,01;grey;#A9AAAA;18,03;light grey;#505556;15,42;dark grey;#D0CCC7;13,43;very light grey
822;99,3;100,9;75;82,7;43,2;40,9;40,7;17,3;#404519;36,07;dark yellow;#2D2A17;23,16;very dark yellow-orange;#DEE4E7;17,36;very light grey;#585540;13,56;dark yellow-orange;#A2A59C;5,62;light grey
823;109,2;116,2;105,9;104,8;20,3;46,6;46,3;9,3;#181E1A;23,74;very dark blue-green;#3C473A;23,36;dark green;#F3F5F5;21,63;white;#617251;17,07;yellow-green;#939B97;11,76;light grey
824;115,7;124,8;122,5;125,2;25,9;52,6;50,3;11,6;#2A2B1A;28,03;very dark yellow;#5E5D4E;20,64;dark yellow-orange;#CCD7E5;19,37;pale blue-cyan;#7F8D85;17,45;pale blue-green;#9ABAD8;14,26;light blue-cyan
825;80,3;110,5;131,6;156,8;50,5;56;44,8;26;#4880C6;29,03;blue-cyan;#7DB3DC;18,54;light blue-cyan;#222715;16,46;very dark yellow-green;#494921;15,11;dark yellow;#4D6881;12,68;blue-cyan
826;141,4;149,8;148,6;156,2;13,9;60,6;60,1;7;#E6EDF3;32,51;white;#4D574C;19,01;dark green;#2F3938;17,05;dark cyan;#787B77;15,52;grey;#ABB0A9;13,92;light grey
827;125,9;129,5;125,2;128,5;15,7;53,2;53,3;7,8;#7B8687;28,61;pale cyan;#65737B;24,29;pale blue-cyan;#C3C2B9;20,12;light grey;#413F39;14,61;dark yellow-orange;#716147;8,77;orange
828;160,3;173,1;179,1;175,3;17,5;71,3;69,2;7,8;#CED8DB;47,58;very light grey;#A7B4B9;20,79;pale blue-cyan;#6688A3;15,67;blue-cyan;#0F1B25;7,87;very dark blue-cyan;#524D46;4,44;dark orange
829;132,3;140;148,2;208,3;11,6;58,1;57,6;5,7;#A6ADB5;32,11;pale blue-cyan;#9198A1;22,3;pale blue-cyan;#777F8A;19,77;pale blue-cyan;#626B70;18,38;pale blue-cyan;#485053;5,8;dark blue-cyan
830;152,9;152,4;148,5;112,5;11,4;62,3;61,8;6,3;#B8BFBB;21,89;light grey;#F4F7F7;19,34;white;#5F5E5D;18,61;dark grey;#858986;17,03;grey;#2B2829;13,94;very dark grey
831;118,8;127,5;121;129,1;32,7;55,2;51,9;17,1;#A1BCDB;29,2;light blue-cyan;#637073;20,81;pale cyan;#4F4F26;16,2;dark yellow;#2B2D1B;12,17;very dark yellow;#817740;11,72;yellow-orange
832;112,3;121;93;93,1;42,2;48,8;47,7;17,6;#0C1907;28,6;very dark yellow-green;#DAE3C7;24,01;pale yellow-green;#53674F;20,51;pale green;#A9B296;14,5;pale yellow-green;#5F501F;8,9;dark yellow-orange
833;126,5;125,6;125,4;62,2;2,4;49,8;52,4;0,9;#7C7C7C;26,02;grey;#8C8C8C;23,06;grey;#9D9C9C;22,41;light grey;#6E6D6D;21,3;grey;#1C1A17;4,89;very dark orange
834;114,9;118,8;114,4;111,1;33,4;52,9;49;15,9;#63573B;38,51;orange;#717F92;17,09;pale blue-cyan;#82AFDD;13,91;light blue-cyan;#9D9687;12,19;pale orange;#252419;11,44;very dark yellow-orange
835;133,3;141,3;145,1;190,3;11;57,1;57,3;4,6;#B8BFC5;27,33;light grey;#4B555A;18,13;dark blue-cyan;#6D767A;17,56;pale blue-cyan;#273131;12,75;very dark cyan;#DFE3E2;12,15;very light grey
836;84;118,6;126;158,8;35,1;51,3;47,4;15,7;#4D7F81;32,75;cyan;#4C8AA9;29,59;blue-cyan;#63635F;15,19;dark grey;#292724;12,91;very dark orange;#A5A59D;7,92;light grey
837;125,1;131,9;141,7;208,6;17,4;56,9;54,3;9,3;#9299A6;36,64;pale blue-cyan;#78808D;24,46;pale blue-cyan;#B6C1D0;13,29;pale blue-cyan;#282F35;10,95;dark blue-cyan;#605B61;10,45;dark grey
838;115,8;116,8;113,9;118,5;9,3;46,6;47,6;3,6;#232323;20,42;very dark grey;#44413C;20,42;dark orange;#B9BDBB;18,9;light grey;#929490;18,01;grey;#686964;15,38;grey
839;116;122,4;134,4;215,1;14,3;52,9;50,8;7,6;#868F9E;53,41;pale blue-cyan;#787F8D;21,28;pale blue-cyan;#656872;8,73;pale blue;#4E4E51;8,25;dark grey;#1A1518;4,86;very dark red-violet
840;113,9;124,4;141,6;209,8;20,9;55,9;51,8;11,4;#69778C;37,84;blue-cyan;#798496;36,35;pale blue-cyan;#5B6779;14,97;pale blue-cyan;#929495;7,23;grey;#C9C5BE;2,03;very light grey
841;99,4;130,1;110,5;125,5;44,4;55,8;51;27,7;#8FC8F0;29,57;light blue-cyan;#526C34;22,97;yellow-green;#354B25;17,03;dark yellow-green;#84944B;12,26;yellow;#212B1D;9,77;very dark yellow-green
842;92,4;103,2;111,4;198,6;23,1;43,8;42,2;7,1;#273646;34,06;dark blue-cyan;#A0A7A9;24,2;light grey;#8F9AA1;16,9;pale blue-cyan;#353F46;15,82;dark blue-cyan;#464744;4,95;dark grey
843;125,8;126,6;142,1;164,2;24,7;58,2;52,1;12,7;#C1C9EC;27,79;pale blue;#919BB9;21,18;pale blue;#1A150D;16,24;very dark orange;#646672;16,13;pale blue;#42352B;10,63;dark red-orange
844;120,2;111,8;106;94,3;20;48,3;46,7;8,6;#8B857A;25,87;pale orange;#B7B9C0;22,21;light grey;#241D1B;18,78;very dark red;#5C524C;14,78;dark red-orange;#5D3B33;11,28;dark red
845;146,7;142,1;133;96,1;18,9;59,5;58;9,5;#EEF7FD;24,62;white;#8C7568;19,55;red-orange;#595043;15,17;dark orange;#282821;15,01;very dark yellow;#B1ADA7;14,15;light grey
846;151;135,7;119;51,7;28,3;59,4;56,8;13,1;#C3C2BE;41,46;light grey;#856A4F;16,93;orange;#AB8F72;13,96;orange;#51442C;11,62;dark orange;#72482C;9,59;red-orange
847;153,9;131,8;118,7;78,7;29,1;61,5;56,4;16,7;#EBEAE8;21,26;very light grey;#B28B66;21,16;red-orange;#978F8B;18,95;grey;#685B46;18,12;orange;#2B281F;13,75;very dark orange
848;108,9;92,3;74,9;73,3;52,2;45,6;39,4;19,7;#684522;24,91;red-orange;#866748;19,45;orange;#C9D8EE;18,75;pale blue-cyan;#3F270D;17,99;dark orange;#151209;12,23;very dark yellow-orange
849;127,7;99,4;93;129,9;33;50,2;43,9;15,7;#372523;30,47;dark red;#CAC6C7;25,58;very light grey;#743433;15,71;red;#685148;12,56;red-orange;#A96041;9,13;red-orange
850;107,6;116,8;114,8;108,2;37,8;54,7;48,1;21,6;#6089C7;25,43;blue-cyan;#B5A995;21,95;pale orange;#806E5B;17,92;orange;#23241F;15,24;very dark yellow;#607641;10,89;yellow-green
851;108,1;103;101,9;176,5;16,1;44,4;42,9;7,8;#1D1B1F;22,24;very dark blue-violet;#9C9597;20,6;light grey;#746765;19,96;pale red;#473E42;19,53;dark red-violet;#D3D4D8;10,9;very light grey
852;122,9;102,9;97,5;136,6;24,4;48,4;44,8;12,6;#5E4A4D;24,52;dark red;#746E6A;20,09;pale red-orange;#815F54;16,16;red;#A9937F;15,87;pale red-orange;#452939;14,93;dark red-violet
853;131;113,9;110,3;122,5;22;52,4;48,7;11,2;#957874;29,84;pale red;#6D5250;18,07;red;#B69F9F;16,94;pale red;#282523;13,41;very dark red-orange;#444F3E;12,98;dark yellow-green
854;203,1;202,4;203,2;60,8;6,2;81,5;81,2;3,6;#DBDCDC;58,4;very light grey;#F3F3F3;18,95;white;#A2A5A7;10,2;light grey;#60707E;7,01;pale blue-cyan;#2E2A29;2,87;very dark red
855;112,5;120,2;127,4;150,8;24,5;52,4;48,9;10,6;#D9DDE2;22,49;very light grey;#2D2C22;22,15;very dark yellow-orange;#435063;15,49;blue-cyan;#607691;15,31;blue-cyan;#95ADC8;12,52;blue-cyan
856;119;126,3;133,2;155,2;35,5;59;51,9;20,2;#C5CBDA;21,5;pale blue-cyan;#A1986C;20,99;yellow-orange;#1C1723;16,44;very dark blue-violet;#4B84CE;15,53;blue-cyan;#5E553C;14,65;dark orange
857;145,8;161,8;158,9;131,8;37,1;73,8;65,6;28,3;#9C985B;24,76;yellow-orange;#ACCCF8;19,55;light blue-cyan;#75B4FC;17,98;blue-cyan;#867F47;15,72;yellow-orange;#8C8A76;12,13;pale yellow-orange
858;110;123,2;133,4;166,5;27,8;54,1;50;12,2;#8C9BAC;23,98;pale blue-cyan;#C0C8D4;21,28;pale blue-cyan;#1B2424;17,97;very dark cyan;#5D7086;16,77;blue-cyan;#5A5D47;13,31;dark yellow
859;119;117,7;105,3;117,6;24,6;50;48,5;12,9;#8E8989;28,26;grey;#C4BEB6;21,06;light grey;#5A4D4B;16,8;dark red;#161512;15,71;very dark yellow-orange;#4C5E37;10;dark yellow-green
860;98,8;103,5;111,3;204,4;14,8;44,1;42,4;6;#46484D;30,58;dark blue-cyan;#69686D;26,46;grey;#22242B;22,09;very dark blue;#F8FBFC;8,92;white;#BDD7EA;6,32;pale blue-cyan
861;131;124,9;122,3;131,8;15;53,2;51,3;6,8;#D7DBDB;22,61;very light grey;#1C1A1C;19,87;very dark grey;#806F69;17,44;pale red-orange;#50423D;16,42;dark red-orange;#9DA2A7;13,48;light grey
862;120,9;111,9;103;94,1;26,7;50,7;46,7;13,2;#1E2020;20,77;very dark grey;#534939;18,17;dark orange;#99755C;17,54;red-orange;#6B7279;16,32;pale blue-cyan;#CDB699;15,79;orange
863;113;103,5;99,5;129,8;26,1;48;43,5;12,9;#8E8476;25,97;pale orange;#524747;24,48;dark red;#1B181B;24,1;very dark violet;#DECDB2;14,67;pale orange;#7CAFE6;6,17;blue-cyan
864;107,5;118,5;89,5;103,3;36,5;49,2;47,7;21,7;#365027;25,32;dark yellow-green;#8D8781;22,3;pale orange;#4C7634;20,73;yellow-green;#484239;16,99;dark orange;#ECEAE8;12,38;very light grey
865;106,1;104,1;97,1;111,6;24,1;42,9;42,5;7,7;#D6D8E2;20,35;very light grey;#64615C;19,79;pale orange;#343120;18,59;dark yellow-orange;#15140D;16,71;very dark yellow-orange;#8F8C8C;14,7;grey
866;90,9;87,8;106,3;200,4;33;46,5;37,9;18,5;#2A2127;24,68;very dark red-violet;#5D5550;20,88;dark red-orange;#3761B2;18,07;blue-cyan;#3F425B;14,79;dark blue;#CBBFBE;14,64;very light grey
867;115,7;116,3;108,3;111,9;18,2;48;47,5;8,3;#212326;20,43;very dark blue-cyan;#47453E;20,02;dark yellow-orange;#766F64;19,68;pale orange;#A4A297;17,94;light grey;#D9DDD7;17,43;very light grey
868;152,6;145,9;132,4;96,3;21,2;61,7;59,5;11,3;#CCB99C;23,31;pale orange;#E4E7E8;19,19;very light grey;#95856C;18,23;orange;#1F201F;15,71;very dark grey;#58533F;15,63;dark yellow-orange
869;121,8;108,9;100,4;75,7;22,5;48,8;46,1;10,8;#524A41;33,04;dark orange;#312D28;20,72;very dark orange;#ADB0B2;16,97;light grey;#A14D31;10,46;red;#F8F7F5;9,59;white
870;122,2;114,7;118,1;172,2;13;50,1;47,8;6,9;#29282B;27,78;very dark grey;#919196;24,87;grey;#555357;19,37;dark grey;#D6D4D5;19,26;very light grey;#FAB0B5;4,97;light red
871;120,1;114,2;112,2;97,8;20,6;48,9;47,2;7;#CFD6DD;31,26;very light grey;#3E342B;18,68;dark red-orange;#848079;16,54;pale orange;#0E0B09;15,54;very dark red-orange;#645D55;11,68;pale orange
872;122;112,8;109;113,4;20;50,2;47,3;9,6;#2F343E;29,79;dark blue-cyan;#564E4D;18,06;dark red;#82746D;17,76;pale red-orange;#EADAC4;11,82;pale orange;#ACA9A5;11,62;light grey
873;119,4;115,8;113,7;118,3;21,7;48,4;46,7;6,1;#F3F2EC;31,06;white;#373130;24,14;dark red;#120B0C;22,81;very dark red;#5A5D60;13,55;dark grey;#9FA5A0;6,89;light grey
874;101,5;94,4;96,3;107,4;27,6;45,6;40,3;14,4;#554D48;31,52;dark red-orange;#272124;22,63;very dark red-violet;#7B6F5E;20,53;pale orange;#CBBDAF;12,37;pale orange;#4C78D4;9,49;blue-cyan
875;68,2;58,7;47,1;44,1;53,2;27;24;9,3;#281C0E;29,56;very dark orange;#0F0803;24,28;very dark red-orange;#42372D;18,91;dark red-orange;#F0F1F2;11,05;white;#3D2D0D;10,96;dark orange
876;111,9;101,2;88,2;58,3;27,8;44,5;42,2;10,8;#241F18;24,37;very dark orange;#483D31;24,01;dark orange;#746759;18,61;pale orange;#A7A49A;13,56;light grey;#E8EAE4;11,17;very light grey
877;89,4;105;123,2;202,2;37,2;48,5;42;12,5;#091010;25,16;very dark cyan;#CAD8E9;18,31;pale blue-cyan;#233242;16,65;dark blue-cyan;#465E7F;13,67;blue-cyan;#6D8195;13,16;blue-cyan
878;136,2;150,2;160,7;184,2;22,3;64,4;60,5;10,8;#C3D2E4;30,97;pale blue-cyan;#697C8C;25,59;blue-cyan;#99AABB;23,63;pale blue-cyan;#161C13;10,39;very dark yellow-green;#6D695C;7,71;pale yellow-orange
879;150,4;142,9;135,5;124,5;15,9;60,2;58,4;9,2;#7E7D85;22,6;grey;#E6D6B4;18,23;pale orange;#5C4F4A;17,03;dark red-orange;#F7F9F7;14,87;white;#251F22;14,6;very dark red-violet
880;147,8;140,8;129;69,2;16,5;58,5;57,8;8,7;#C3B9AA;20,96;pale orange;#9E9484;19,69;pale orange;#E2DDD7;18,09;very light grey;#776D5D;17,67;pale orange;#4D483B;14,45;dark orange
881;162,8;149,6;143,1;98;16,4;64,3;61,7;9;#F8F4F0;22,97;white;#CDC3B6;21,68;pale orange;#5E514F;15,91;dark red;#998E82;15,54;pale orange;#302B2F;14,27;very dark violet
882;127,6;120,6;114,1;104,8;17,9;52,1;50,1;9,3;#2E2C2E;21,68;very dark grey;#5B524D;21,38;dark red-orange;#937D6B;16,95;red-orange;#9199A1;15,58;pale blue-cyan;#CEBA9D;12,94;pale orange
883;87,6;85,2;76,3;70;17,1;35;35,5;6,6;#5A5753;23,05;dark grey;#413D31;20,78;dark yellow-orange;#201F1B;20,22;very dark yellow-orange;#767673;17,6;grey;#736A4E;12;yellow-orange
884;115;106,1;104,4;121,1;15,2;45,9;44,7;6,1;#4C3F3C;21,68;dark red;#B7B8BB;21,41;light grey;#2C2222;16,84;very dark red;#68615F;16,56;pale red;#979190;15,35;grey
885;0;0;0;0;0;0;0;0;#000000;100;black;—;—;—;—;—;—;—;—;—;—;—;—
886;98,4;114,3;134,4;214,8;30;52,8;46,6;13,3;#384550;28,72;dark blue-cyan;#5A6E82;22,11;blue-cyan;#BFD2EA;18,34;pale blue-cyan;#8C9FBB;13,53;blue-cyan;#394B6D;11,46;blue-cyan
887;125,2;132,3;137;140,7;18,6;56,2;53,6;8,6;#9DA3A6;26,83;light grey;#27241D;22,24;very dark orange;#665D4F;16,61;pale orange;#C0CED9;16,08;pale blue-cyan;#A4C6EA;14;light blue-cyan
888;104,6;110,7;122,4;140,3;24,9;51,6;46,1;13,7;#696560;35,12;pale orange;#2B2B33;22,36;dark blue;#5385C6;20,19;blue-cyan;#A6A09B;16,08;light grey;#F4F1EF;4,17;white
889;158,7;145,3;143,5;130,9;13,5;62,7;61;8,2;#938A85;26,4;pale red-orange;#DFDBDE;20,86;very light grey;#726862;19,69;pale red-orange;#BBB0AE;19,21;light grey;#3E3631;8,55;dark red-orange
890;116;105,9;94,3;64,1;26,2;46,8;44,5;11,3;#5E4F3D;28,11;dark orange;#352D27;27,37;dark red-orange;#9D9082;23,47;pale orange;#D9DEE3;7,62;very light grey;#98A5B6;6,91;pale blue-cyan
891;149,7;127,5;112,3;36;26,5;58,8;54,3;13,9;#5E473B;23,55;dark red-orange;#8B6C5B;22,24;red-orange;#AC9F97;16,51;pale red-orange;#DFD1C0;16,13;pale orange;#BF9C81;15,68;red-orange
892;105,7;102,8;121,5;208,2;29;53;43,6;18,6;#8CACF5;25,61;light blue-cyan;#241A20;24,1;very dark red-violet;#474540;22,51;dark orange;#777070;13,9;grey;#D1BEB2;7,35;pale red-orange
893;88,6;87,9;77,2;73,4;30,7;36,7;35,7;9,1;#524D3D;27,72;dark yellow-orange;#0B0E0A;22,26;very dark green;#313026;19,64;very dark yellow-orange;#DFDACA;14,73;pale yellow-orange;#736F5B;11,51;pale yellow-orange
894;88,8;91;74,2;84,7;36,6;37,2;36,6;11,8;#14170C;27,92;very dark yellow-green;#565146;22,58;dark orange;#9F9992;16,41;pale orange;#283713;14,64;dark yellow-green;#E4E6E7;9,73;very light grey
