#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
129;160,5;100,5;65;26,8;61;63;49;39,1;#AF3C1B;34,11;vivid red;#C9B28A;24,61;orange;#997F5A;13,12;orange;#6C4B26;12,84;orange;#42271B;10,68;dark red-orange
130;80,7;53,1;17,8;30,5;51,2;31,6;23,7;24,1;#0A0806;53,34;very dark orange;#3B1E0C;12,33;dark red-orange;#EE9D29;11,55;vivid orange;#713810;8,49;red-orange;#AF6412;7,35;vivid orange
131;146,1;102,5;35,2;36,6;78,6;57,3;45,3;42,4;#150E03;20,68;very dark orange;#F5B738;19,37;vivid orange;#4D2C0A;18,81;dark orange;#CC8627;17,97;vivid orange;#91581A;14,21;orange
132;132,5;75,4;11,5;29,4;92,9;52;37,1;46,9;#9E5609;22,96;orange;#341402;19,48;dark red-orange;#783C05;18,07;red-orange;#532504;15,44;dark red-orange;#C37B14;14,56;vivid orange
133;102,2;67,5;29,3;57,4;78,2;40,2;30,6;28,8;#0A0403;27,88;very dark red;#E4B150;16,07;orange;#301508;15,93;very dark red-orange;#BD8239;14,65;orange;#532B0F;14,44;dark red-orange
134;95;58,2;9,2;30,9;92,7;37,3;26,9;32,9;#170A02;29,52;very dark red-orange;#331602;21,31;dark red-orange;#5A2A04;15,37;dark red-orange;#BE810F;12,64;vivid orange;#885008;11,39;orange
135;97,1;72,1;50,1;30,5;47,5;38,1;32;18,6;#402E20;23,91;dark red-orange;#261E17;21,84;very dark red-orange;#5D422C;18,83;dark red-orange;#7D5B3D;17,81;red-orange;#A87F5A;10,65;red-orange
136;108,8;79,9;21,2;42,9;75,8;42,9;34,3;34,8;#1B140B;32,83;very dark orange;#3C270D;20,06;dark orange;#6E4612;13,66;orange;#EAAA23;13,38;vivid orange;#AE771A;11,93;vivid orange
137;147,1;79,1;43,1;24,7;73,9;57,7;40,9;43,3;#82391B;34,31;red-orange;#A25324;29,32;red-orange;#5A1F14;21,25;dark red;#D98F43;7,64;orange;#F8D589;4,33;light orange
138;161,2;87,5;77,5;115,9;54,2;63,4;46,1;37,7;#B5423D;28,82;red;#73383F;28,71;red;#D27464;17,68;red;#887F7D;13,73;pale red;#8E4E10;6,78;red-orange
139;112,8;98,8;85,2;105,2;28,5;45,6;41,9;14,4;#2C2622;36,49;very dark red-orange;#9DA09A;20,64;light grey;#864728;13,82;red-orange;#5B5854;13,41;dark grey;#DBDBD3;9,24;very light grey
