IMAGE COLOR SUMMARIZER  —  Batch Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Image Info;;;;;;Mean Values;;;;;;;;Color 1;;;Color 2;;;Color 3;;;Color 4;;;Color 5;;;
#;URL;Filename;ID;placeInfo/name;W×H;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;Status
26;https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/dd/16/91/photo1jpg.jpg;photo1jpg.jpg;767012552;Cave of Dragon (Spilia tou drakou);1280×960;135,7;78,7;21,6;28,2;87,9;53,2;38,2;44,1;#C67822;19,46;vivid orange;#472003;18,74;dark red-orange;#9C5912;16,48;orange;#2C1002;15,82;very dark red-orange;#EB9E40;15,17;orange;✓ OK
27;https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/1a/b4/c6/photo5jpg.jpg;photo5jpg.jpg;749696756;Cave of Dragon (Spilia tou drakou);1280×960;147,7;144,6;141,3;103,1;7,9;58,7;59,3;4,3;#BEBAB4;23,23;light grey;#9E9A94;18,76;light grey;#DBD9D7;18,32;very light grey;#7A7772;14,06;grey;#2E2B2D;12,93;very dark grey;✓ OK
28;https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/17/f5/1c/caption.jpg;caption.jpg;749451718;Cave of Dragon (Spilia tou drakou);1280×720;60,9;41;18,6;27,9;80,5;23,9;17,6;17;#120603;46,64;very dark red;#2B1405;24,98;very dark red-orange;#4B2B0A;11,85;dark orange;#D7BA4F;7,42;yellow-orange;#8B631D;5,83;orange;✓ OK
29;https://media-cdn.tripadvisor.com/media/photo-w/1a/df/28/13/screenshot-20200212-141230.jpg;screenshot-20200212-141230.jpg;744578368;Cave of Dragon (Spilia tou drakou);1024×1531;124,9;92,6;36,5;39,4;77,6;49;40,1;35,7;#422308;21,24;dark red-orange;#190A03;19,61;very dark red-orange;#A67C2B;18,05;orange;#DAB346;16,28;orange;#724A15;16,01;orange;✓ OK
30;https://media-cdn.tripadvisor.com/media/photo-w/1a/ad/98/fd/photo0jpg.jpg;photo0jpg.jpg;740655883;Cave of Dragon (Spilia tou drakou);1024×1365;134,3;79,9;40;27,3;72,5;52,7;39;37,1;#AA5F2C;21,8;red-orange;#78411E;19,68;red-orange;#EB8E41;17,41;red-orange;#4B240A;16,04;dark red-orange;#74634B;14,47;orange;✓ OK
31;https://media-cdn.tripadvisor.com/media/photo-o/1a/a8/40/71/20200119-132645-largejpg.jpg;20200119-132645-largejpg.jpg;740213338;Cave of Dragon (Spilia tou drakou);1008×756;136,4;90,5;18,3;35,2;84,8;53,5;41,7;45,3;#60380A;24,37;dark orange;#BB7C0F;21,25;vivid orange;#8B5714;20,23;orange;#E1AC12;13,08;vivid orange;#58432B;11,59;dark orange;✓ OK
32;https://media-cdn.tripadvisor.com/media/photo-o/1a/89/03/90/cave-of-dragon-spilia.jpg;cave-of-dragon-spilia.jpg;737661891;Cave of Dragon (Spilia tou drakou);999×623;107,8;64,8;19,8;35,5;85;42,5;30,8;35,6;#421F07;25,36;dark red-orange;#6A3509;23,9;red-orange;#1F110B;20,84;very dark red-orange;#A05B12;14,38;orange;#DC9529;9,41;vivid orange;✓ OK
33;https://media-cdn.tripadvisor.com/media/photo-w/1a/88/4b/7f/photo0jpg.jpg;photo0jpg.jpg;737594628;Cave of Dragon (Spilia tou drakou);1024×1365;100,5;50,7;25,6;47;72,5;39,5;26,6;31,5;#8A441D;27,63;red-orange;#190B0B;24,52;very dark red;#642D15;19,04;red-orange;#3F190E;13,9;dark red;#B35E2A;12,76;vivid red-orange;✓ OK
34;https://media-cdn.tripadvisor.com/media/photo-w/1a/7c/09/9c/photo0jpg.jpg;photo0jpg.jpg;736608973;Cave of Dragon (Spilia tou drakou);1024×1365;122,1;69,6;27,7;30,1;75,3;47,9;33,7;36,2;#190B07;34,08;very dark red;#ED8E34;17,13;vivid red-orange;#BE6524;15,16;vivid red-orange;#7F3F19;13,86;red-orange;#431E0F;12,74;dark red-orange;✓ OK
35;https://media-cdn.tripadvisor.com/media/photo-w/1a/7b/22/b6/photo0jpg.jpg;photo0jpg.jpg;736526828;Cave of Dragon (Spilia tou drakou);1024×1365;137,7;82,9;32,2;27,6;78,4;54;39,6;41;#B16422;21,36;vivid red-orange;#241208;19,59;very dark red-orange;#E79239;19,44;vivid orange;#4B250D;17,64;dark red-orange;#7C4014;16,24;red-orange;✓ OK
